# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  :  8-Aug-2024  9:43:31
# ---------------------------------------------------------------------
# Atom: H
#   nuclear charge:    1
#   total electrons:   1
#   total charge:     +0
#   configuration: 1s1
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    0
#
# SCF converged after    2 iterations
#   energy convergence  =  8.696E-09
#   density convergence =  3.223E-07
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =      -0.50000001  [       -13.61 eV ]
#   (SUM of E_kin) =       0.50000002
#   (Effec. pot E) =      -1.00000002
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =       0.50000002
#   E Latter corr  =      -0.19954786
#   Nuc-Elec pot E =      -1.00000002    One-Elec E =      -0.69954786
#
#   Hartree E      =       0.31251543
#   Exchange E     =      -0.31911226
#   Correlation E  =       0.00000000    Two-Elec E =      -0.00659683
#   ---------------------------------
#   Total Energy   =      -0.70614468  [       -19.22 eV ]
#
#                E(0)        E(1)
# |E_TOT|      -13.61      -19.22
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       1    -0.50000001     -13.605692      13.605692
#
#              1s
# |SCF|    -13.61
#
# Plotting of radial bound states [ u(r) = r R(r) ] on nonuniform grids
r(a.u.)         1s
  8.863E-05  1.773E-04
  2.972E-04  5.942E-04
  6.250E-04  1.249E-03
  1.072E-03  2.142E-03
  1.639E-03  3.273E-03
  2.326E-03  4.642E-03
  3.134E-03  6.248E-03
  4.061E-03  8.090E-03
  5.110E-03  1.017E-02
  6.281E-03  1.248E-02
  7.574E-03  1.503E-02
  8.989E-03  1.782E-02
  1.053E-02  2.084E-02
  1.219E-02  2.409E-02
  1.398E-02  2.757E-02
  1.589E-02  3.128E-02
  1.793E-02  3.523E-02
  2.010E-02  3.940E-02
  2.240E-02  4.381E-02
  2.483E-02  4.843E-02
  2.738E-02  5.329E-02
  3.007E-02  5.837E-02
  3.290E-02  6.367E-02
  3.586E-02  6.919E-02
  3.895E-02  7.493E-02
  4.219E-02  8.089E-02
  4.556E-02  8.706E-02
  4.908E-02  9.345E-02
  5.273E-02  1.000E-01
  5.654E-02  1.069E-01
  6.049E-02  1.139E-01
  6.459E-02  1.211E-01
  6.883E-02  1.285E-01
  7.324E-02  1.361E-01
  7.780E-02  1.439E-01
  8.251E-02  1.520E-01
  8.739E-02  1.602E-01
  9.243E-02  1.685E-01
  9.764E-02  1.771E-01
  1.030E-01  1.859E-01
  1.086E-01  1.948E-01
  1.143E-01  2.039E-01
  1.202E-01  2.131E-01
  1.263E-01  2.226E-01
  1.325E-01  2.321E-01
  1.390E-01  2.419E-01
  1.456E-01  2.518E-01
  1.524E-01  2.618E-01
  1.595E-01  2.719E-01
  1.667E-01  2.822E-01
  1.742E-01  2.927E-01
  1.818E-01  3.032E-01
  1.897E-01  3.138E-01
  1.978E-01  3.246E-01
  2.061E-01  3.355E-01
  2.147E-01  3.464E-01
  2.235E-01  3.574E-01
  2.325E-01  3.685E-01
  2.418E-01  3.797E-01
  2.513E-01  3.909E-01
  2.611E-01  4.022E-01
  2.711E-01  4.135E-01
  2.815E-01  4.248E-01
  2.921E-01  4.362E-01
  3.030E-01  4.476E-01
  3.142E-01  4.589E-01
  3.256E-01  4.703E-01
  3.374E-01  4.816E-01
  3.495E-01  4.929E-01
  3.620E-01  5.041E-01
  3.748E-01  5.153E-01
  3.879E-01  5.263E-01
  4.013E-01  5.373E-01
  4.152E-01  5.482E-01
  4.294E-01  5.590E-01
  4.440E-01  5.696E-01
  4.590E-01  5.801E-01
  4.744E-01  5.904E-01
  4.902E-01  6.005E-01
  5.064E-01  6.104E-01
  5.231E-01  6.201E-01
  5.403E-01  6.295E-01
  5.579E-01  6.387E-01
  5.760E-01  6.476E-01
  5.946E-01  6.562E-01
  6.137E-01  6.645E-01
  6.334E-01  6.724E-01
  6.536E-01  6.800E-01
