# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  :  8-Aug-2024  9:43:58
# ---------------------------------------------------------------------
# Atom: Ne
#   nuclear charge:   10
#   total electrons:  10
#   total charge:     +0
#   configuration: 1s2_2s2_2p6
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# SCF converged after   21 iterations
#   energy convergence  =  2.092E-08
#   density convergence =  4.990E-07
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =     -70.56886464  [     -1920.28 eV ]
#   (SUM of E_kin) =     132.75037885
#   (Effec. pot E) =    -203.31924349
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =     132.75037885
#   E Latter corr  =      -0.07669013
#   Nuc-Elec pot E =    -317.06633335    One-Elec E =    -184.39264463
#
#   Hartree E      =      68.21763872
#   Exchange E     =     -16.95862309
#   Correlation E  =       0.00000000    Two-Elec E =      51.25901563
#   ---------------------------------
#   Total Energy   =    -133.13362900  [     -3622.75 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -1920.28    -3622.75
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -31.49465456    -857.013120    1273.910550
#   2s       2    -1.58368578     -43.094281     150.142665
#   2p       6    -0.73536400     -20.010272     127.369171
#
#              1s        2s        2p
# |SCF|   -857.01    -43.09    -20.01
#
# Plotting of radial bound states [ u(r) = r R(r) ] on nonuniform grids
r(a.u.)         1s         2s         2p
  8.863E-05  5.425E-03 -1.311E-03 -2.418E-07
  2.972E-04  1.815E-02 -4.387E-03 -2.715E-06
  6.250E-04  3.805E-02 -9.197E-03 -1.199E-05
  1.072E-03  6.499E-02 -1.571E-02 -3.522E-05
  1.639E-03  9.879E-02 -2.388E-02 -8.209E-05
  2.326E-03  1.392E-01 -3.365E-02 -1.647E-04
  3.134E-03  1.860E-01 -4.496E-02 -2.977E-04
  4.061E-03  2.389E-01 -5.773E-02 -4.978E-04
  5.110E-03  2.975E-01 -7.188E-02 -7.840E-04
  6.281E-03  3.613E-01 -8.730E-02 -1.177E-03
  7.574E-03  4.301E-01 -1.039E-01 -1.701E-03
  8.989E-03  5.033E-01 -1.216E-01 -2.379E-03
  1.053E-02  5.805E-01 -1.402E-01 -3.239E-03
  1.219E-02  6.611E-01 -1.596E-01 -4.307E-03
  1.398E-02  7.447E-01 -1.796E-01 -5.613E-03
  1.589E-02  8.306E-01 -2.002E-01 -7.187E-03
  1.793E-02  9.183E-01 -2.212E-01 -9.059E-03
  2.010E-02  1.007E+00 -2.424E-01 -1.126E-02
  2.240E-02  1.097E+00 -2.637E-01 -1.382E-02
  2.483E-02  1.187E+00 -2.849E-01 -1.678E-02
  2.738E-02  1.276E+00 -3.059E-01 -2.016E-02
  3.007E-02  1.364E+00 -3.265E-01 -2.400E-02
  3.290E-02  1.451E+00 -3.465E-01 -2.833E-02
  3.586E-02  1.536E+00 -3.659E-01 -3.317E-02
  3.895E-02  1.618E+00 -3.843E-01 -3.856E-02
  4.219E-02  1.697E+00 -4.017E-01 -4.452E-02
  4.556E-02  1.772E+00 -4.180E-01 -5.109E-02
  4.908E-02  1.843E+00 -4.329E-01 -5.828E-02
  5.273E-02  1.910E+00 -4.464E-01 -6.612E-02
  5.654E-02  1.972E+00 -4.583E-01 -7.463E-02
  6.049E-02  2.029E+00 -4.685E-01 -8.382E-02
  6.459E-02  2.081E+00 -4.768E-01 -9.372E-02
  6.883E-02  2.126E+00 -4.833E-01 -1.043E-01
  7.324E-02  2.166E+00 -4.876E-01 -1.157E-01
  7.780E-02  2.200E+00 -4.899E-01 -1.278E-01
  8.251E-02  2.228E+00 -4.899E-01 -1.406E-01
  8.739E-02  2.249E+00 -4.877E-01 -1.542E-01
  9.243E-02  2.264E+00 -4.831E-01 -1.685E-01
  9.764E-02  2.272E+00 -4.762E-01 -1.835E-01
  1.030E-01  2.275E+00 -4.668E-01 -1.993E-01
  1.086E-01  2.270E+00 -4.550E-01 -2.157E-01
  1.143E-01  2.260E+00 -4.408E-01 -2.329E-01
  1.202E-01  2.244E+00 -4.240E-01 -2.508E-01
  1.263E-01  2.222E+00 -4.049E-01 -2.693E-01
  1.325E-01  2.195E+00 -3.833E-01 -2.885E-01
  1.390E-01  2.162E+00 -3.594E-01 -3.082E-01
  1.456E-01  2.124E+00 -3.332E-01 -3.285E-01
  1.524E-01  2.081E+00 -3.047E-01 -3.494E-01
  1.595E-01  2.034E+00 -2.740E-01 -3.708E-01
  1.667E-01  1.983E+00 -2.412E-01 -3.926E-01
  1.742E-01  1.928E+00 -2.064E-01 -4.148E-01
  1.818E-01  1.870E+00 -1.697E-01 -4.373E-01
  1.897E-01  1.809E+00 -1.313E-01 -4.602E-01
  1.978E-01  1.746E+00 -9.118E-02 -4.833E-01
  2.061E-01  1.680E+00 -4.957E-02 -5.067E-01
  2.147E-01  1.612E+00 -6.601E-03 -5.301E-01
  2.235E-01  1.544E+00  3.759E-02 -5.537E-01
  2.325E-01  1.474E+00  8.283E-02 -5.773E-01
  2.418E-01  1.403E+00  1.290E-01 -6.008E-01
  2.513E-01  1.333E+00  1.758E-01 -6.242E-01
  2.611E-01  1.262E+00  2.232E-01 -6.475E-01
  2.711E-01  1.192E+00  2.710E-01 -6.705E-01
  2.815E-01  1.123E+00  3.190E-01 -6.932E-01
  2.921E-01  1.054E+00  3.670E-01 -7.156E-01
  3.030E-01  9.875E-01  4.148E-01 -7.375E-01
  3.142E-01  9.221E-01  4.622E-01 -7.589E-01
  3.256E-01  8.585E-01  5.092E-01 -7.797E-01
  3.374E-01  7.969E-01  5.554E-01 -7.999E-01
  3.495E-01  7.375E-01  6.006E-01 -8.194E-01
  3.620E-01  6.803E-01  6.449E-01 -8.382E-01
  3.748E-01  6.257E-01  6.878E-01 -8.561E-01
  3.879E-01  5.735E-01  7.294E-01 -8.731E-01
  4.013E-01  5.240E-01  7.694E-01 -8.891E-01
  4.152E-01  4.772E-01  8.077E-01 -9.041E-01
  4.294E-01  4.330E-01  8.440E-01 -9.181E-01
  4.440E-01  3.916E-01  8.784E-01 -9.310E-01
  4.590E-01  3.529E-01  9.107E-01 -9.426E-01
  4.744E-01  3.168E-01  9.406E-01 -9.531E-01
  4.902E-01  2.834E-01  9.682E-01 -9.624E-01
