# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  :  8-Aug-2024 17:34:36
# ---------------------------------------------------------------------
# Atom: Ar
#   nuclear charge:   18
#   total electrons:  18
#   total charge:     +0
#   configuration: 1s2_2s2_2p6_3s2_3p6
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# SCF converged after   24 iterations
#   energy convergence  = -6.005E-08
#   density convergence =  1.824E-08
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =    -315.32894667  [     -8580.54 eV ]
#   (SUM of E_kin) =     538.31112886
#   (Effec. pot E) =    -853.64007553
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =     538.31112886
#   E Latter corr  =      -0.04560505
#   Nuc-Elec pot E =   -1271.74584183    One-Elec E =    -733.48031802
#
#   Hartree E      =     237.44887030
#   Exchange E     =     -42.55977694
#   Correlation E  =       0.00000000    Two-Elec E =     194.88909336
#   ---------------------------------
#   Total Energy   =    -538.59122466  [    -14655.81 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -8580.54   -14655.81
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2  -116.26634367   -3163.768054    4220.775799
#   2s       2   -11.43275460    -311.101069     691.023908
#   2p       6    -9.10418205    -247.737388     673.728820
#   3s       2    -1.05375271     -28.674069     118.403503
#   3p       6    -0.53302540     -14.504359      90.901862
#
#              1s        2s        2p        3s        3p
# |SCF|  -3163.77   -311.10   -247.74    -28.67    -14.50
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.086       0.010       1.445     3.9E-06
#   2s       0.411       0.200       4.630     2.6E-07
#   2p       0.370       0.169       5.040    -3.4E-08
#   3s       1.372       2.191      15.190    -4.9E-08
#   3p       1.592       3.063      21.155    -6.1E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    4362
#   continuum_rmax(a.u.)  =      21.814 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s           2s           2p           3s           3p 
     0.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     1.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     2.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     4.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     5.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     6.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     7.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     8.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     9.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    10.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    11.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    12.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    13.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    14.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    15.00000  5.61356E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.61356E+01
    16.00000  6.43107E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.43107E+01
    17.00000  6.80864E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.80864E+01
    18.00000  6.63794E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.63794E+01
    19.00000  5.97235E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.97235E+01
    20.00000  5.01809E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.01809E+01
    21.00000  4.00954E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.00954E+01
    22.00000  3.10315E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.10315E+01
    23.00000  2.36079E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.36079E+01
    24.00000  1.78346E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.78346E+01
    25.00000  1.34647E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.34647E+01
    26.00000  1.01980E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.01980E+01
    27.00000  7.76624E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  7.76624E+00
    28.00000  5.95564E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.95564E+00
    29.00000  4.70769E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.03272E-01  4.60442E+00
    30.00000  3.72165E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.28606E-01  3.59305E+00
    31.00000  2.98765E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.53623E-01  2.83403E+00
    32.00000  2.44129E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.77883E-01  2.26341E+00
    33.00000  2.03538E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.01095E-01  1.83429E+00
    34.00000  1.73517E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.23076E-01  1.51209E+00
    35.00000  1.51490E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.43724E-01  1.27118E+00
    36.00000  1.35536E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.62992E-01  1.09237E+00
    37.00000  1.24210E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.80871E-01  9.61230E-01
    38.00000  1.16420E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.97380E-01  8.66817E-01
    39.00000  1.11333E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.12557E-01  8.00775E-01
    40.00000  1.08313E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.26450E-01  7.56681E-01
    41.00000  1.06868E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.39115E-01  7.29567E-01
    42.00000  1.06618E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.50613E-01  7.15571E-01
    43.00000  1.07268E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.61005E-01  7.11674E-01
    44.00000  1.08586E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.70354E-01  7.15501E-01
    45.00000  1.10390E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.78720E-01  7.25183E-01
    46.00000  1.12540E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.86164E-01  7.39237E-01
    47.00000  1.14923E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.92743E-01  7.56486E-01
    48.00000  1.17451E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.98511E-01  7.75994E-01
    49.00000  1.20054E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.03522E-01  7.97014E-01
    50.00000  1.22678E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.07825E-01  8.18950E-01
    51.00000  1.25280E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.11468E-01  8.41327E-01
    52.00000  1.27826E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.14495E-01  8.63767E-01
    53.00000  1.30292E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.16948E-01  8.85967E-01
    54.00000  1.32656E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.18868E-01  9.07692E-01
    55.00000  1.34905E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.20291E-01  9.28755E-01
    56.00000  1.37026E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.21254E-01  9.49011E-01
    57.00000  1.39014E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.21790E-01  9.68350E-01
    58.00000  1.40862E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.21929E-01  9.86690E-01
    59.00000  1.42567E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.21703E-01  1.00397E+00
    60.00000  1.44129E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.21137E-01  1.02016E+00
    61.00000  1.45548E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.20259E-01  1.03522E+00
    62.00000  1.46824E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.19094E-01  1.04914E+00
    63.00000  1.47960E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.17663E-01  1.06193E+00
    64.00000  1.48959E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.15990E-01  1.07360E+00
    65.00000  1.49824E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.14094E-01  1.08415E+00
    66.00000  1.50561E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.11995E-01  1.09361E+00
    67.00000  1.51172E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.09711E-01  1.10201E+00
    68.00000  1.51663E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.07258E-01  1.10937E+00
    69.00000  1.52038E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.04653E-01  1.11573E+00
    70.00000  1.52303E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.01910E-01  1.12112E+00
    71.00000  1.52462E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.99043E-01  1.12558E+00
    72.00000  1.52521E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.96066E-01  1.12914E+00
    73.00000  1.52484E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.92990E-01  1.13185E+00
    74.00000  1.52358E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.89827E-01  1.13375E+00
    75.00000  1.52146E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.86587E-01  1.13488E+00
    76.00000  1.51854E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.83281E-01  1.13526E+00
    77.00000  1.51487E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.79917E-01  1.13495E+00
    78.00000  1.51049E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.76505E-01  1.13399E+00
    79.00000  1.50545E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.73052E-01  1.13240E+00
    80.00000  1.49980E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.69566E-01  1.13023E+00
    81.00000  1.49357E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.66053E-01  1.12751E+00
    82.00000  1.48680E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.62519E-01  1.12428E+00
    83.00000  1.47955E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.58972E-01  1.12058E+00
    84.00000  1.47184E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.55416E-01  1.11642E+00
    85.00000  1.46371E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.51855E-01  1.11186E+00
    86.00000  1.45520E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.48296E-01  1.10691E+00
    87.00000  1.44634E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.44741E-01  1.10160E+00
    88.00000  1.43716E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.41195E-01  1.09597E+00
    89.00000  1.42770E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.37662E-01  1.09003E+00
    90.00000  1.41797E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.34144E-01  1.08382E+00
    91.00000  1.40801E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.30645E-01  1.07736E+00
    92.00000  1.39784E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.27166E-01  1.07067E+00
    93.00000  1.38749E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.23711E-01  1.06377E+00
    94.00000  1.37697E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.20282E-01  1.05669E+00
    95.00000  1.36631E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.16881E-01  1.04943E+00
    96.00000  1.35554E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.13508E-01  1.04203E+00
    97.00000  1.34466E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.10167E-01  1.03449E+00
    98.00000  1.33369E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.06858E-01  1.02683E+00
    99.00000  1.32266E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.03582E-01  1.01908E+00
   100.00000  1.31157E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.00341E-01  1.01123E+00
   101.00000  1.30044E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.97135E-01  1.00330E+00
   102.00000  1.28928E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.93965E-01  9.95317E-01
   103.00000  1.27811E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.90832E-01  9.87277E-01
   104.00000  1.26693E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.87736E-01  9.79196E-01
   105.00000  1.25576E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.84678E-01  9.71082E-01
   106.00000  1.24460E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.81658E-01  9.62945E-01
   107.00000  1.23347E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.78676E-01  9.54794E-01
   108.00000  1.22237E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.75732E-01  9.46636E-01
   109.00000  1.21130E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.72826E-01  9.38478E-01
   110.00000  1.20029E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.69960E-01  9.30326E-01
   111.00000  1.18932E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.67131E-01  9.22188E-01
   112.00000  1.17841E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.64340E-01  9.14068E-01
   113.00000  1.16756E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.61588E-01  9.05972E-01
