# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 23-Jun-2026 16:41:05
# ---------------------------------------------------------------------
# ==============================================================================
# DUMP command line: -s Ar -pcs -PE 0-1500 -dE 1 -v 
# ==============================================================================
#
# Atom: Ar
#   nuclear charge:   18
#   total electrons:  18
#   total charge:     +0
#   configuration: 1s2_2s2_2p6_3s2_3p6
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# SCF procedure:
#   max iteration =  100
#   convergence for energy  =  1.0E-07
#   convergence for density =  1.0E-06
#   mixing ratio =  0.60 of new potentials
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# iter    E(orb)   E(exch)   E(Coul)     E(J)*      E(total)     diff.
#    1 -792.0000  -59.1950 -286.7549  365.6816 -1137.9498990  1.14E+03
#    2 -223.5862  -31.6814 -104.0869  146.3287  -359.3544506 -7.79E+02
#    3 -333.6078  -43.2583 -186.9713  244.6490  -563.8373800  2.04E+02
#    4 -318.4679  -42.5325 -180.8436  237.5535  -541.8439292 -2.20E+01
#    5 -316.5199  -42.5418 -180.6387  237.3611  -539.7004431 -2.14E+00
#    6 -315.8558  -42.5564 -180.6892  237.4311  -539.1013990 -5.99E-01
#    7 -315.5502  -42.5590 -180.6976  237.4430  -538.8068734 -2.95E-01
#    8 -315.4210  -42.5597 -180.7015  237.4478  -538.6822582 -1.25E-01
#    9 -315.3665  -42.5598 -180.7022  237.4486  -538.6284826 -5.38E-02
#   10 -315.3441  -42.5598 -180.7025  237.4488  -538.6063710 -2.21E-02
#   11 -315.3350  -42.5598 -180.7025  237.4489  -538.5973215 -9.05E-03
#   12 -315.3314  -42.5598 -180.7025  237.4489  -538.5936713 -3.65E-03
#   13 -315.3299  -42.5598 -180.7025  237.4489  -538.5922034 -1.47E-03
#   14 -315.3293  -42.5598 -180.7025  237.4489  -538.5916157 -5.88E-04
#   15 -315.3291  -42.5598 -180.7025  237.4489  -538.5913808 -2.35E-04
#   16 -315.3290  -42.5598 -180.7025  237.4489  -538.5912869 -9.38E-05
#   17 -315.3290  -42.5598 -180.7025  237.4489  -538.5912495 -3.75E-05
#   18 -315.3290  -42.5598 -180.7025  237.4489  -538.5912345 -1.49E-05
#   19 -315.3290  -42.5598 -180.7025  237.4489  -538.5912286 -5.96E-06
#   20 -315.3289  -42.5598 -180.7025  237.4489  -538.5912262 -2.38E-06
#   21 -315.3289  -42.5598 -180.7025  237.4489  -538.5912252 -9.48E-07
#   22 -315.3289  -42.5598 -180.7025  237.4489  -538.5912249 -3.78E-07
#   23 -315.3289  -42.5598 -180.7025  237.4489  -538.5912247 -1.51E-07
#   24 -315.3289  -42.5598 -180.7025  237.4489  -538.5912247 -6.01E-08
# --------------------------------------------------------------------
#      -315.3289  -42.5598 -180.7025  237.4489  -538.5912247 converged
#
# SCF converged after   24 iterations
#   energy convergence  = -6.010E-08
#   density convergence =  1.361E-08
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =    -315.32894667  [     -8580.54 eV ]
#   (SUM of E_kin) =     538.31112886
#   (Effec. pot E) =    -853.64007553
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =     538.31112886
#   E Latter corr  =      -0.04560505
#   Nuc-Elec pot E =   -1271.74584183    One-Elec E =    -733.48031802
#
#   Hartree E      =     237.44887030
#   Exchange E     =     -42.55977694
#   Correlation E  =       0.00000000    Two-Elec E =     194.88909336
#   ---------------------------------
#   Total Energy   =    -538.59122466  [    -14655.81 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -8580.54   -14655.81
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2  -116.26634367   -3163.768054    4220.775799
#   2s       2   -11.43275460    -311.101069     691.023908
#   2p       6    -9.10418205    -247.737388     673.728820
#   3s       2    -1.05375271     -28.674069     118.403503
#   3p       6    -0.53302540     -14.504359      90.901862
#
#              1s        2s        2p        3s        3p
# |SCF|  -3163.77   -311.10   -247.74    -28.67    -14.50
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.086       0.010       1.445     3.9E-06
#   2s       0.411       0.200       4.630     2.6E-07
#   2p       0.370       0.169       5.040    -3.4E-08
#   3s       1.372       2.191      15.190    -4.9E-08
#   3p       1.592       3.063      21.155    -6.1E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    4362
#   continuum_rmax(a.u.)  =      21.814 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s           2s           2p           3s           3p 
#
#                       P.E. =     0.00     n,l -        E,l             R_int
#
     0.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     1.00     n,l -        E,l             R_int
#
     1.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     2.00     n,l -        E,l             R_int
#
     2.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     3.00     n,l -        E,l             R_int
#
     3.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     4.00     n,l -        E,l             R_int
#
     4.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     5.00     n,l -        E,l             R_int
#
     5.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     6.00     n,l -        E,l             R_int
#
     6.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     7.00     n,l -        E,l             R_int
#
     7.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     8.00     n,l -        E,l             R_int
#
     8.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     9.00     n,l -        E,l             R_int
#
     9.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    10.00     n,l -        E,l             R_int
#
    10.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    11.00     n,l -        E,l             R_int
#
    11.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    12.00     n,l -        E,l             R_int
#
    12.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    13.00     n,l -        E,l             R_int
#
    13.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    14.00     n,l -        E,l             R_int
#
    14.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    15.00     n,l -        E,l             R_int
#                                           3 1 -     0.50 0      -1.10439E+00
#                                           3 1 -     0.50 2       2.97617E+00
#
    15.00000  5.61356E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.61356E+01
#
#                       P.E. =    16.00     n,l -        E,l             R_int
#                                           3 1 -     1.50 0      -1.01586E+00
#                                           3 1 -     1.50 2       3.10681E+00
#
    16.00000  6.43107E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.43107E+01
#
#                       P.E. =    17.00     n,l -        E,l             R_int
#                                           3 1 -     2.50 0      -9.39498E-01
#                                           3 1 -     2.50 2       3.11299E+00
#
    17.00000  6.80864E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.80864E+01
#
#                       P.E. =    18.00     n,l -        E,l             R_int
#                                           3 1 -     3.50 0      -8.72975E-01
#                                           3 1 -     3.50 2       2.99135E+00
#
    18.00000  6.63794E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.63794E+01
#
#                       P.E. =    19.00     n,l -        E,l             R_int
#                                           3 1 -     4.50 0      -8.14506E-01
#                                           3 1 -     4.50 2       2.76049E+00
#
    19.00000  5.97235E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.97235E+01
#
#                       P.E. =    20.00     n,l -        E,l             R_int
#                                           3 1 -     5.50 0      -7.62724E-01
#                                           3 1 -     5.50 2       2.46099E+00
#
    20.00000  5.01809E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.01809E+01
#
#                       P.E. =    21.00     n,l -        E,l             R_int
#                                           3 1 -     6.50 0      -7.16548E-01
#                                           3 1 -     6.50 2       2.13855E+00
#
    21.00000  4.00954E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.00954E+01
#
#                       P.E. =    22.00     n,l -        E,l             R_int
#                                           3 1 -     7.50 0      -6.75119E-01
#                                           3 1 -     7.50 2       1.82769E+00
#
    22.00000  3.10315E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.10315E+01
#
#                       P.E. =    23.00     n,l -        E,l             R_int
#                                           3 1 -     8.50 0      -6.37748E-01
#                                           3 1 -     8.50 2       1.54703E+00
#
