# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 15-Sep-2026 10:14:34
# ---------------------------------------------------------------------
# ==============================================================================
# DUMP command line: -s F -pcs -PE 0-1500 -dE 1 -v 
# ==============================================================================
#
# Atom: F
#   nuclear charge:    9
#   total electrons:   9
#   total charge:     +0
#   configuration: 1s2_2s2_2p5
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# SCF procedure:
#   max iteration =  100
#   convergence for energy  =  1.0E-07
#   convergence for density =  1.0E-06
#   mixing ratio =  0.60 of new potentials
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# iter    E(orb)   E(exch)   E(Coul)     E(J)*      E(total)     diff.
#    1 -151.8750  -19.4296  -52.4877   78.3938  -223.7922942  2.24E+02
#    2  -41.5150   -8.5312  -10.6583   22.0332   -60.7045343 -1.63E+02
#    3  -69.9770  -15.0164  -37.2729   57.2947  -122.2663194  6.16E+01
#    4  -58.5224  -13.8176  -32.7109   51.1344  -105.0509413 -1.72E+01
#    5  -57.3451  -13.9028  -33.0001   51.5372  -104.2480457 -8.03E-01
#    6  -56.6509  -13.8762  -32.8822   51.3838  -103.4093603 -8.39E-01
#    7  -56.4576  -13.8859  -32.9149   51.4295  -103.2584250 -1.51E-01
#    8  -56.3546  -13.8828  -32.9013   51.4118  -103.1387637 -1.20E-01
#    9  -56.3231  -13.8841  -32.9059   51.4180  -103.1130808 -2.57E-02
#   10  -56.3070  -13.8837  -32.9040   51.4156  -103.0946536 -1.84E-02
#   11  -56.3019  -13.8839  -32.9046   51.4164  -103.0903674 -4.29E-03
#   12  -56.2994  -13.8838  -32.9044   51.4161  -103.0875148 -2.85E-03
#   13  -56.2985  -13.8838  -32.9044   51.4162  -103.0868107 -7.04E-04
#   14  -56.2982  -13.8838  -32.9044   51.4162  -103.0863698 -4.41E-04
#   15  -56.2980  -13.8838  -32.9044   51.4162  -103.0862554 -1.14E-04
#   16  -56.2980  -13.8838  -32.9044   51.4162  -103.0861873 -6.81E-05
#   17  -56.2979  -13.8838  -32.9044   51.4162  -103.0861688 -1.85E-05
#   18  -56.2979  -13.8838  -32.9044   51.4162  -103.0861583 -1.05E-05
#   19  -56.2979  -13.8838  -32.9044   51.4162  -103.0861554 -2.96E-06
#   20  -56.2979  -13.8838  -32.9044   51.4162  -103.0861537 -1.63E-06
#   21  -56.2979  -13.8838  -32.9044   51.4162  -103.0861533 -4.74E-07
#   22  -56.2979  -13.8838  -32.9044   51.4162  -103.0861530 -2.52E-07
#   23  -56.2979  -13.8838  -32.9044   51.4162  -103.0861529 -7.57E-08
# --------------------------------------------------------------------
#       -56.2979  -13.8838  -32.9044   51.4162  -103.0861529 converged
#
# SCF converged after   23 iterations
#   energy convergence  = -7.567E-08
#   density convergence =  1.397E-08
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =     -56.29792563  [     -1531.94 eV ]
#   (SUM of E_kin) =     102.73394312
#   (Effec. pot E) =    -159.03186875
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =     102.73394312
#   E Latter corr  =      -0.07231104
#   Nuc-Elec pot E =    -243.28013546    One-Elec E =    -140.61850339
#
#   Hartree E      =      51.41616573
#   Exchange E     =     -13.88381527
#   Correlation E  =       0.00000000    Two-Elec E =      37.53235045
#   ---------------------------------
#   Total Energy   =    -103.08615294  [     -2805.12 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -1531.94    -2805.12
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -25.26943658    -687.616327    1027.100962
#   2s       2    -1.31725605     -35.844359     119.982637
#   2p       5    -0.62490807     -17.004613     100.273103
#
#              1s        2s        2p
# |SCF|   -687.62    -35.84    -17.00
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.175       0.041       3.005     1.8E-07
#   2s       0.979       1.169      13.310    -3.2E-08
#   2p       1.049       1.475      19.030    -1.5E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    3898
#   continuum_rmax(a.u.)  =      19.490 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s           2s           2p 
#
#                       P.E. =     0.00     n,l -        E,l             R_int
#
     0.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     1.00     n,l -        E,l             R_int
#
     1.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     2.00     n,l -        E,l             R_int
#
     2.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     3.00     n,l -        E,l             R_int
#
     3.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     4.00     n,l -        E,l             R_int
#
     4.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     5.00     n,l -        E,l             R_int
#
     5.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     6.00     n,l -        E,l             R_int
#
     6.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     7.00     n,l -        E,l             R_int
#
     7.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     8.00     n,l -        E,l             R_int
#
     8.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     9.00     n,l -        E,l             R_int
#
     9.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    10.00     n,l -        E,l             R_int
#
    10.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    11.00     n,l -        E,l             R_int
#
    11.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    12.00     n,l -        E,l             R_int
#
    12.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    13.00     n,l -        E,l             R_int
#
    13.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    14.00     n,l -        E,l             R_int
#
    14.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    15.00     n,l -        E,l             R_int
#
    15.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    16.00     n,l -        E,l             R_int
#
    16.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    17.00     n,l -        E,l             R_int
#
    17.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    18.00     n,l -        E,l             R_int
#                                           2 1 -     1.00 0       6.89902E-01
#                                           2 1 -     1.00 2       1.04307E+00
#
    18.00000  7.86224E+00  0.00000E+00  0.00000E+00  7.86224E+00
#
#                       P.E. =    19.00     n,l -        E,l             R_int
#                                           2 1 -     2.00 0       6.41261E-01
#                                           2 1 -     2.00 2       1.06999E+00
#
    19.00000  8.45231E+00  0.00000E+00  0.00000E+00  8.45231E+00
#
#                       P.E. =    20.00     n,l -        E,l             R_int
#                                           2 1 -     3.00 0       5.98527E-01
#                                           2 1 -     3.00 2       1.08252E+00
#
    20.00000  8.90042E+00  0.00000E+00  0.00000E+00  8.90042E+00
#
#                       P.E. =    21.00     n,l -        E,l             R_int
#                                           2 1 -     4.00 0       5.60709E-01
#                                           2 1 -     4.00 2       1.08533E+00
#
    21.00000  9.23585E+00  0.00000E+00  0.00000E+00  9.23585E+00
#
#                       P.E. =    22.00     n,l -        E,l             R_int
#                                           2 1 -     5.00 0       5.27013E-01
#                                           2 1 -     5.00 2       1.08141E+00
#
    22.00000  9.48129E+00  0.00000E+00  0.00000E+00  9.48129E+00
#
#                       P.E. =    23.00     n,l -        E,l             R_int
#                                           2 1 -     6.00 0       4.96811E-01
#                                           2 1 -     6.00 2       1.07279E+00
#
    23.00000  9.65448E+00  0.00000E+00  0.00000E+00  9.65448E+00
#
#                       P.E. =    24.00     n,l -        E,l             R_int
#                                           2 1 -     7.00 0       4.69598E-01
#                                           2 1 -     7.00 2       1.06088E+00
#
    24.00000  9.76936E+00  0.00000E+00  0.00000E+00  9.76936E+00
#
#                       P.E. =    25.00     n,l -        E,l             R_int
#                                           2 1 -     8.00 0       4.44958E-01
#                                           2 1 -     8.00 2       1.04666E+00
#
    25.00000  9.83695E+00  0.00000E+00  0.00000E+00  9.83695E+00
#
#                       P.E. =    26.00     n,l -        E,l             R_int
#                                           2 1 -     9.00 0       4.22549E-01
#                                           2 1 -     9.00 2       1.03086E+00
#
    26.00000  9.86599E+00  0.00000E+00  0.00000E+00  9.86599E+00
#
