# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  :  8-Aug-2024 17:34:57
# ---------------------------------------------------------------------
# Atom: H
#   nuclear charge:    1
#   total electrons:   1
#   total charge:     +0
#   configuration: 1s1
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    0
#
# SCF converged after    2 iterations
#   energy convergence  =  8.696E-09
#   density convergence =  3.223E-07
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =      -0.50000001  [       -13.61 eV ]
#   (SUM of E_kin) =       0.50000002
#   (Effec. pot E) =      -1.00000002
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =       0.50000002
#   E Latter corr  =      -0.19954786
#   Nuc-Elec pot E =      -1.00000002    One-Elec E =      -0.69954786
#
#   Hartree E      =       0.31251543
#   Exchange E     =      -0.31911226
#   Correlation E  =       0.00000000    Two-Elec E =      -0.00659683
#   ---------------------------------
#   Total Energy   =      -0.70614468  [       -19.22 eV ]
#
#                E(0)        E(1)
# |E_TOT|      -13.61      -19.22
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       1    -0.50000001     -13.605692      13.605692
#
#              1s
# |SCF|    -13.61
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       1.500       3.000      22.210    -1.8E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    4617
#   continuum_rmax(a.u.)  =      23.087 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s 
     0.00000  0.00000E+00  0.00000E+00
     1.00000  0.00000E+00  0.00000E+00
     2.00000  0.00000E+00  0.00000E+00
     3.00000  0.00000E+00  0.00000E+00
     4.00000  0.00000E+00  0.00000E+00
     5.00000  0.00000E+00  0.00000E+00
     6.00000  0.00000E+00  0.00000E+00
     7.00000  0.00000E+00  0.00000E+00
     8.00000  0.00000E+00  0.00000E+00
     9.00000  0.00000E+00  0.00000E+00
    10.00000  0.00000E+00  0.00000E+00
    11.00000  0.00000E+00  0.00000E+00
    12.00000  0.00000E+00  0.00000E+00
    13.00000  0.00000E+00  0.00000E+00
    14.00000  5.84130E+00  5.84130E+00
    15.00000  4.85393E+00  4.85393E+00
    16.00000  4.07733E+00  4.07733E+00
    17.00000  3.45777E+00  3.45777E+00
    18.00000  2.95743E+00  2.95743E+00
    19.00000  2.54890E+00  2.54890E+00
    20.00000  2.21202E+00  2.21202E+00
    21.00000  1.93176E+00  1.93176E+00
    22.00000  1.69670E+00  1.69670E+00
    23.00000  1.49810E+00  1.49810E+00
    24.00000  1.32915E+00  1.32915E+00
    25.00000  1.18454E+00  1.18454E+00
    26.00000  1.06005E+00  1.06005E+00
    27.00000  9.52290E-01  9.52290E-01
    28.00000  8.58560E-01  8.58560E-01
    29.00000  7.76651E-01  7.76651E-01
    30.00000  7.04762E-01  7.04762E-01
    31.00000  6.41410E-01  6.41410E-01
    32.00000  5.85370E-01  5.85370E-01
    33.00000  5.35618E-01  5.35618E-01
    34.00000  4.91301E-01  4.91301E-01
    35.00000  4.51698E-01  4.51698E-01
    36.00000  4.16201E-01  4.16201E-01
    37.00000  3.84294E-01  3.84294E-01
    38.00000  3.55535E-01  3.55535E-01
    39.00000  3.29549E-01  3.29549E-01
    40.00000  3.06009E-01  3.06009E-01
    41.00000  2.84635E-01  2.84635E-01
    42.00000  2.65186E-01  2.65186E-01
    43.00000  2.47451E-01  2.47451E-01
    44.00000  2.31245E-01  2.31245E-01
    45.00000  2.16408E-01  2.16408E-01
    46.00000  2.02799E-01  2.02799E-01
    47.00000  1.90295E-01  1.90295E-01
    48.00000  1.78786E-01  1.78786E-01
    49.00000  1.68176E-01  1.68176E-01
    50.00000  1.58379E-01  1.58379E-01
    51.00000  1.49319E-01  1.49319E-01
    52.00000  1.40928E-01  1.40928E-01
    53.00000  1.33147E-01  1.33147E-01
    54.00000  1.25921E-01  1.25921E-01
    55.00000  1.19201E-01  1.19201E-01
    56.00000  1.12945E-01  1.12945E-01
    57.00000  1.07114E-01  1.07114E-01
    58.00000  1.01672E-01  1.01672E-01
    59.00000  9.65869E-02  9.65869E-02
    60.00000  9.18310E-02  9.18310E-02
    61.00000  8.73779E-02  8.73779E-02
    62.00000  8.32042E-02  8.32042E-02
    63.00000  7.92883E-02  7.92883E-02
    64.00000  7.56108E-02  7.56108E-02
    65.00000  7.21541E-02  7.21541E-02
    66.00000  6.89018E-02  6.89018E-02
    67.00000  6.58391E-02  6.58391E-02
    68.00000  6.29527E-02  6.29527E-02
    69.00000  6.02300E-02  6.02300E-02
    70.00000  5.76597E-02  5.76597E-02
    71.00000  5.52314E-02  5.52314E-02
    72.00000  5.29354E-02  5.29354E-02
    73.00000  5.07630E-02  5.07630E-02
    74.00000  4.87060E-02  4.87060E-02
    75.00000  4.67569E-02  4.67569E-02
    76.00000  4.49088E-02  4.49088E-02
    77.00000  4.31553E-02  4.31553E-02
    78.00000  4.14904E-02  4.14904E-02
    79.00000  3.99087E-02  3.99087E-02
    80.00000  3.84051E-02  3.84051E-02
    81.00000  3.69748E-02  3.69748E-02
    82.00000  3.56135E-02  3.56135E-02
    83.00000  3.43172E-02  3.43172E-02
    84.00000  3.30819E-02  3.30819E-02
    85.00000  3.19043E-02  3.19043E-02
    86.00000  3.07809E-02  3.07809E-02
    87.00000  2.97088E-02  2.97088E-02
    88.00000  2.86850E-02  2.86850E-02
    89.00000  2.77069E-02  2.77069E-02
    90.00000  2.67720E-02  2.67720E-02
    91.00000  2.58780E-02  2.58780E-02
    92.00000  2.50227E-02  2.50227E-02
    93.00000  2.42040E-02  2.42040E-02
    94.00000  2.34200E-02  2.34200E-02
    95.00000  2.26688E-02  2.26688E-02
    96.00000  2.19489E-02  2.19489E-02
    97.00000  2.12587E-02  2.12587E-02
    98.00000  2.05965E-02  2.05965E-02
    99.00000  1.99611E-02  1.99611E-02
   100.00000  1.93511E-02  1.93511E-02
   101.00000  1.87652E-02  1.87652E-02
   102.00000  1.82023E-02  1.82023E-02
   103.00000  1.76613E-02  1.76613E-02
   104.00000  1.71411E-02  1.71411E-02
   105.00000  1.66408E-02  1.66408E-02
   106.00000  1.61594E-02  1.61594E-02
   107.00000  1.56960E-02  1.56960E-02
   108.00000  1.52499E-02  1.52499E-02
   109.00000  1.48201E-02  1.48201E-02
   110.00000  1.44061E-02  1.44061E-02
   111.00000  1.40071E-02  1.40071E-02
   112.00000  1.36224E-02  1.36224E-02
   113.00000  1.32513E-02  1.32513E-02
   114.00000  1.28934E-02  1.28934E-02
   115.00000  1.25480E-02  1.25480E-02
   116.00000  1.22146E-02  1.22146E-02
   117.00000  1.18927E-02  1.18927E-02
   118.00000  1.15818E-02  1.15818E-02
   119.00000  1.12814E-02  1.12814E-02
   120.00000  1.09911E-02  1.09911E-02
   121.00000  1.07105E-02  1.07105E-02
   122.00000  1.04391E-02  1.04391E-02
   123.00000  1.01767E-02  1.01767E-02
   124.00000  9.92284E-03  9.92284E-03
   125.00000  9.67717E-03  9.67717E-03
   126.00000  9.43939E-03  9.43939E-03
   127.00000  9.20917E-03  9.20917E-03
   128.00000  8.98623E-03  8.98623E-03
   129.00000  8.77029E-03  8.77029E-03
   130.00000  8.56107E-03  8.56107E-03
   131.00000  8.35831E-03  8.35831E-03
   132.00000  8.16178E-03  8.16178E-03
   133.00000  7.97124E-03  7.97124E-03
   134.00000  7.78647E-03  7.78647E-03
   135.00000  7.60724E-03  7.60724E-03
   136.00000  7.43336E-03  7.43336E-03
   137.00000  7.26464E-03  7.26464E-03
   138.00000  7.10087E-03  7.10087E-03
   139.00000  6.94190E-03  6.94190E-03
   140.00000  6.78753E-03  6.78753E-03
   141.00000  6.63761E-03  6.63761E-03
   142.00000  6.49199E-03  6.49199E-03
   143.00000  6.35051E-03  6.35051E-03
   144.00000  6.21302E-03  6.21302E-03
   145.00000  6.07939E-03  6.07939E-03
   146.00000  5.94948E-03  5.94948E-03
   147.00000  5.82317E-03  5.82317E-03
   148.00000  5.70034E-03  5.70034E-03
   149.00000  5.58086E-03  5.58086E-03
   150.00000  5.46463E-03  5.46463E-03
   151.00000  5.35154E-03  5.35154E-03
   152.00000  5.24147E-03  5.24147E-03
   153.00000  5.13434E-03  5.13434E-03
   154.00000  5.03005E-03  5.03005E-03
   155.00000  4.92851E-03  4.92851E-03
   156.00000  4.82962E-03  4.82962E-03
   157.00000  4.73330E-03  4.73330E-03
   158.00000  4.63947E-03  4.63947E-03
   159.00000  4.54805E-03  4.54805E-03
   160.00000  4.45897E-03  4.45897E-03
   161.00000  4.37215E-03  4.37215E-03
   162.00000  4.28752E-03  4.28752E-03
   163.00000  4.20501E-03  4.20501E-03
   164.00000  4.12456E-03  4.12456E-03
   165.00000  4.04611E-03  4.04611E-03
   166.00000  3.96959E-03  3.96959E-03
   167.00000  3.89494E-03  3.89494E-03
   168.00000  3.82211E-03  3.82211E-03
   169.00000  3.75105E-03  3.75105E-03
   170.00000  3.68170E-03  3.68170E-03
   171.00000  3.61402E-03  3.61402E-03
   172.00000  3.54794E-03  3.54794E-03
   173.00000  3.48343E-03  3.48343E-03
   174.00000  3.42044E-03  3.42044E-03
   175.00000  3.35892E-03  3.35892E-03
   176.00000  3.29884E-03  3.29884E-03
   177.00000  3.24015E-03  3.24015E-03
   178.00000  3.18281E-03  3.18281E-03
   179.00000  3.12679E-03  3.12679E-03
   180.00000  3.07205E-03  3.07205E-03
   181.00000  3.01854E-03  3.01854E-03
   182.00000  2.96625E-03  2.96625E-03
   183.00000  2.91513E-03  2.91513E-03
   184.00000  2.86515E-03  2.86515E-03
   185.00000  2.81628E-03  2.81628E-03
   186.00000  2.76849E-03  2.76849E-03
   187.00000  2.72176E-03  2.72176E-03
   188.00000  2.67604E-03  2.67604E-03
   189.00000  2.63132E-03  2.63132E-03
   190.00000  2.58757E-03  2.58757E-03
   191.00000  2.54476E-03  2.54476E-03
   192.00000  2.50287E-03  2.50287E-03
   193.00000  2.46187E-03  2.46187E-03
   194.00000  2.42175E-03  2.42175E-03
   195.00000  2.38247E-03  2.38247E-03
   196.00000  2.34402E-03  2.34402E-03
   197.00000  2.30637E-03  2.30637E-03
   198.00000  2.26950E-03  2.26950E-03
   199.00000  2.23340E-03  2.23340E-03
   200.00000  2.19804E-03  2.19804E-03
   201.00000  2.16340E-03  2.16340E-03
   202.00000  2.12947E-03  2.12947E-03
   203.00000  2.09624E-03  2.09624E-03
   204.00000  2.06367E-03  2.06367E-03
   205.00000  2.03176E-03  2.03176E-03
   206.00000  2.00049E-03  2.00049E-03
   207.00000  1.96984E-03  1.96984E-03
   208.00000  1.93980E-03  1.93980E-03
   209.00000  1.91035E-03  1.91035E-03
   210.00000  1.88149E-03  1.88149E-03
   211.00000  1.85319E-03  1.85319E-03
   212.00000  1.82544E-03  1.82544E-03
   213.00000  1.79822E-03  1.79822E-03
   214.00000  1.77154E-03  1.77154E-03
   215.00000  1.74537E-03  1.74537E-03
   216.00000  1.71970E-03  1.71970E-03
   217.00000  1.69451E-03  1.69451E-03
   218.00000  1.66981E-03  1.66981E-03
   219.00000  1.64557E-03  1.64557E-03
   220.00000  1.62179E-03  1.62179E-03
   221.00000  1.59845E-03  1.59845E-03
   222.00000  1.57555E-03  1.57555E-03
   223.00000  1.55308E-03  1.55308E-03
   224.00000  1.53102E-03  1.53102E-03
   225.00000  1.50936E-03  1.50936E-03
   226.00000  1.48810E-03  1.48810E-03
   227.00000  1.46723E-03  1.46723E-03
   228.00000  1.44674E-03  1.44674E-03
   229.00000  1.42662E-03  1.42662E-03
   230.00000  1.40686E-03  1.40686E-03
   231.00000  1.38746E-03  1.38746E-03
   232.00000  1.36840E-03  1.36840E-03
   233.00000  1.34968E-03  1.34968E-03
   234.00000  1.33129E-03  1.33129E-03
   235.00000  1.31323E-03  1.31323E-03
   236.00000  1.29549E-03  1.29549E-03
   237.00000  1.27805E-03  1.27805E-03
   238.00000  1.26092E-03  1.26092E-03
   239.00000  1.24409E-03  1.24409E-03
   240.00000  1.22755E-03  1.22755E-03
   241.00000  1.21129E-03  1.21129E-03
   242.00000  1.19531E-03  1.19531E-03
   243.00000  1.17961E-03  1.17961E-03
   244.00000  1.16417E-03  1.16417E-03
   245.00000  1.14899E-03  1.14899E-03
   246.00000  1.13407E-03  1.13407E-03
   247.00000  1.11941E-03  1.11941E-03
   248.00000  1.10498E-03  1.10498E-03
   249.00000  1.09080E-03  1.09080E-03
   250.00000  1.07686E-03  1.07686E-03
   251.00000  1.06314E-03  1.06314E-03
   252.00000  1.04965E-03  1.04965E-03
   253.00000  1.03639E-03  1.03639E-03
   254.00000  1.02334E-03  1.02334E-03
   255.00000  1.01050E-03  1.01050E-03
   256.00000  9.97871E-04  9.97871E-04
   257.00000  9.85446E-04  9.85446E-04
   258.00000  9.73223E-04  9.73223E-04
   259.00000  9.61195E-04  9.61195E-04
   260.00000  9.49360E-04  9.49360E-04
   261.00000  9.37713E-04  9.37713E-04
   262.00000  9.26252E-04  9.26252E-04
   263.00000  9.14972E-04  9.14972E-04
   264.00000  9.03869E-04  9.03869E-04
   265.00000  8.92941E-04  8.92941E-04
   266.00000  8.82184E-04  8.82184E-04
   267.00000  8.71595E-04  8.71595E-04
   268.00000  8.61171E-04  8.61171E-04
   269.00000  8.50908E-04  8.50908E-04
   270.00000  8.40803E-04  8.40803E-04
   271.00000  8.30854E-04  8.30854E-04
   272.00000  8.21058E-04  8.21058E-04
   273.00000  8.11411E-04  8.11411E-04
   274.00000  8.01911E-04  8.01911E-04
   275.00000  7.92555E-04  7.92555E-04
   276.00000  7.83340E-04  7.83340E-04
   277.00000  7.74265E-04  7.74265E-04
   278.00000  7.65325E-04  7.65325E-04
   279.00000  7.56520E-04  7.56520E-04
   280.00000  7.47845E-04  7.47845E-04
   281.00000  7.39300E-04  7.39300E-04
   282.00000  7.30881E-04  7.30881E-04
   283.00000  7.22586E-04  7.22586E-04
   284.00000  7.14413E-04  7.14413E-04
   285.00000  7.06360E-04  7.06360E-04
   286.00000  6.98425E-04  6.98425E-04
   287.00000  6.90604E-04  6.90604E-04
   288.00000  6.82898E-04  6.82898E-04
   289.00000  6.75302E-04  6.75302E-04
   290.00000  6.67816E-04  6.67816E-04
   291.00000  6.60437E-04  6.60437E-04
   292.00000  6.53164E-04  6.53164E-04
   293.00000  6.45994E-04  6.45994E-04
   294.00000  6.38926E-04  6.38926E-04
   295.00000  6.31959E-04  6.31959E-04
   296.00000  6.25089E-04  6.25089E-04
   297.00000  6.18316E-04  6.18316E-04
   298.00000  6.11639E-04  6.11639E-04
   299.00000  6.05054E-04  6.05054E-04
   300.00000  5.98561E-04  5.98561E-04
   301.00000  5.92159E-04  5.92159E-04
   302.00000  5.85845E-04  5.85845E-04
   303.00000  5.79619E-04  5.79619E-04
   304.00000  5.73478E-04  5.73478E-04
   305.00000  5.67421E-04  5.67421E-04
   306.00000  5.61447E-04  5.61447E-04
   307.00000  5.55555E-04  5.55555E-04
   308.00000  5.49743E-04  5.49743E-04
   309.00000  5.44010E-04  5.44010E-04
   310.00000  5.38354E-04  5.38354E-04
   311.00000  5.32774E-04  5.32774E-04
   312.00000  5.27270E-04  5.27270E-04
   313.00000  5.21839E-04  5.21839E-04
   314.00000  5.16480E-04  5.16480E-04
   315.00000  5.11193E-04  5.11193E-04
   316.00000  5.05976E-04  5.05976E-04
   317.00000  5.00828E-04  5.00828E-04
   318.00000  4.95747E-04  4.95747E-04
   319.00000  4.90734E-04  4.90734E-04
   320.00000  4.85786E-04  4.85786E-04
   321.00000  4.80902E-04  4.80902E-04
   322.00000  4.76082E-04  4.76082E-04
   323.00000  4.71325E-04  4.71325E-04
   324.00000  4.66629E-04  4.66629E-04
   325.00000  4.61994E-04  4.61994E-04
   326.00000  4.57418E-04  4.57418E-04
   327.00000  4.52901E-04  4.52901E-04
   328.00000  4.48442E-04  4.48442E-04
   329.00000  4.44039E-04  4.44039E-04
   330.00000  4.39692E-04  4.39692E-04
   331.00000  4.35401E-04  4.35401E-04
   332.00000  4.31163E-04  4.31163E-04
   333.00000  4.26979E-04  4.26979E-04
   334.00000  4.22847E-04  4.22847E-04
   335.00000  4.18768E-04  4.18768E-04
   336.00000  4.14739E-04  4.14739E-04
   337.00000  4.10760E-04  4.10760E-04
   338.00000  4.06831E-04  4.06831E-04
   339.00000  4.02950E-04  4.02950E-04
   340.00000  3.99117E-04  3.99117E-04
   341.00000  3.95332E-04  3.95332E-04
   342.00000  3.91593E-04  3.91593E-04
   343.00000  3.87900E-04  3.87900E-04
   344.00000  3.84252E-04  3.84252E-04
   345.00000  3.80648E-04  3.80648E-04
   346.00000  3.77089E-04  3.77089E-04
   347.00000  3.73572E-04  3.73572E-04
   348.00000  3.70098E-04  3.70098E-04
   349.00000  3.66666E-04  3.66666E-04
   350.00000  3.63275E-04  3.63275E-04
   351.00000  3.59924E-04  3.59924E-04
   352.00000  3.56614E-04  3.56614E-04
   353.00000  3.53343E-04  3.53343E-04
   354.00000  3.50111E-04  3.50111E-04
   355.00000  3.46917E-04  3.46917E-04
   356.00000  3.43761E-04  3.43761E-04
   357.00000  3.40642E-04  3.40642E-04
   358.00000  3.37560E-04  3.37560E-04
   359.00000  3.34514E-04  3.34514E-04
   360.00000  3.31503E-04  3.31503E-04
   361.00000  3.28527E-04  3.28527E-04
   362.00000  3.25586E-04  3.25586E-04
   363.00000  3.22679E-04  3.22679E-04
   364.00000  3.19806E-04  3.19806E-04
   365.00000  3.16965E-04  3.16965E-04
   366.00000  3.14158E-04  3.14158E-04
   367.00000  3.11382E-04  3.11382E-04
   368.00000  3.08638E-04  3.08638E-04
   369.00000  3.05925E-04  3.05925E-04
   370.00000  3.03244E-04  3.03244E-04
   371.00000  3.00592E-04  3.00592E-04
   372.00000  2.97971E-04  2.97971E-04
   373.00000  2.95379E-04  2.95379E-04
   374.00000  2.92816E-04  2.92816E-04
   375.00000  2.90283E-04  2.90283E-04
   376.00000  2.87777E-04  2.87777E-04
   377.00000  2.85300E-04  2.85300E-04
   378.00000  2.82850E-04  2.82850E-04
   379.00000  2.80427E-04  2.80427E-04
   380.00000  2.78032E-04  2.78032E-04
   381.00000  2.75662E-04  2.75662E-04
   382.00000  2.73319E-04  2.73319E-04
   383.00000  2.71002E-04  2.71002E-04
   384.00000  2.68710E-04  2.68710E-04
   385.00000  2.66444E-04  2.66444E-04
   386.00000  2.64202E-04  2.64202E-04
   387.00000  2.61984E-04  2.61984E-04
   388.00000  2.59791E-04  2.59791E-04
   389.00000  2.57622E-04  2.57622E-04
   390.00000  2.55476E-04  2.55476E-04
   391.00000  2.53353E-04  2.53353E-04
   392.00000  2.51253E-04  2.51253E-04
   393.00000  2.49175E-04  2.49175E-04
   394.00000  2.47120E-04  2.47120E-04
   395.00000  2.45086E-04  2.45086E-04
   396.00000  2.43075E-04  2.43075E-04
   397.00000  2.41084E-04  2.41084E-04
   398.00000  2.39115E-04  2.39115E-04
   399.00000  2.37166E-04  2.37166E-04
   400.00000  2.35238E-04  2.35238E-04
   401.00000  2.33331E-04  2.33331E-04
   402.00000  2.31443E-04  2.31443E-04
   403.00000  2.29575E-04  2.29575E-04
   404.00000  2.27726E-04  2.27726E-04
   405.00000  2.25897E-04  2.25897E-04
   406.00000  2.24087E-04  2.24087E-04
   407.00000  2.22295E-04  2.22295E-04
   408.00000  2.20522E-04  2.20522E-04
   409.00000  2.18768E-04  2.18768E-04
   410.00000  2.17031E-04  2.17031E-04
   411.00000  2.15312E-04  2.15312E-04
   412.00000  2.13611E-04  2.13611E-04
   413.00000  2.11927E-04  2.11927E-04
   414.00000  2.10261E-04  2.10261E-04
   415.00000  2.08611E-04  2.08611E-04
   416.00000  2.06978E-04  2.06978E-04
   417.00000  2.05362E-04  2.05362E-04
   418.00000  2.03762E-04  2.03762E-04
   419.00000  2.02178E-04  2.02178E-04
   420.00000  2.00610E-04  2.00610E-04
   421.00000  1.99058E-04  1.99058E-04
   422.00000  1.97521E-04  1.97521E-04
   423.00000  1.96000E-04  1.96000E-04
   424.00000  1.94494E-04  1.94494E-04
   425.00000  1.93003E-04  1.93003E-04
   426.00000  1.91527E-04  1.91527E-04
   427.00000  1.90065E-04  1.90065E-04
   428.00000  1.88618E-04  1.88618E-04
   429.00000  1.87185E-04  1.87185E-04
   430.00000  1.85766E-04  1.85766E-04
   431.00000  1.84362E-04  1.84362E-04
   432.00000  1.82971E-04  1.82971E-04
   433.00000  1.81593E-04  1.81593E-04
   434.00000  1.80229E-04  1.80229E-04
   435.00000  1.78878E-04  1.78878E-04
   436.00000  1.77540E-04  1.77540E-04
   437.00000  1.76215E-04  1.76215E-04
   438.00000  1.74903E-04  1.74903E-04
   439.00000  1.73604E-04  1.73604E-04
   440.00000  1.72317E-04  1.72317E-04
   441.00000  1.71042E-04  1.71042E-04
   442.00000  1.69780E-04  1.69780E-04
   443.00000  1.68529E-04  1.68529E-04
   444.00000  1.67291E-04  1.67291E-04
   445.00000  1.66064E-04  1.66064E-04
   446.00000  1.64849E-04  1.64849E-04
   447.00000  1.63645E-04  1.63645E-04
   448.00000  1.62453E-04  1.62453E-04
   449.00000  1.61272E-04  1.61272E-04
   450.00000  1.60102E-04  1.60102E-04
   451.00000  1.58943E-04  1.58943E-04
   452.00000  1.57795E-04  1.57795E-04
   453.00000  1.56657E-04  1.56657E-04
   454.00000  1.55531E-04  1.55531E-04
   455.00000  1.54414E-04  1.54414E-04
   456.00000  1.53308E-04  1.53308E-04
   457.00000  1.52213E-04  1.52213E-04
   458.00000  1.51127E-04  1.51127E-04
   459.00000  1.50052E-04  1.50052E-04
   460.00000  1.48986E-04  1.48986E-04
   461.00000  1.47930E-04  1.47930E-04
   462.00000  1.46884E-04  1.46884E-04
   463.00000  1.45848E-04  1.45848E-04
   464.00000  1.44821E-04  1.44821E-04
   465.00000  1.43803E-04  1.43803E-04
   466.00000  1.42795E-04  1.42795E-04
   467.00000  1.41796E-04  1.41796E-04
   468.00000  1.40806E-04  1.40806E-04
   469.00000  1.39825E-04  1.39825E-04
   470.00000  1.38852E-04  1.38852E-04
   471.00000  1.37889E-04  1.37889E-04
   472.00000  1.36934E-04  1.36934E-04
   473.00000  1.35988E-04  1.35988E-04
   474.00000  1.35050E-04  1.35050E-04
   475.00000  1.34120E-04  1.34120E-04
   476.00000  1.33199E-04  1.33199E-04
   477.00000  1.32286E-04  1.32286E-04
   478.00000  1.31381E-04  1.31381E-04
   479.00000  1.30484E-04  1.30484E-04
   480.00000  1.29595E-04  1.29595E-04
   481.00000  1.28714E-04  1.28714E-04
   482.00000  1.27840E-04  1.27840E-04
   483.00000  1.26974E-04  1.26974E-04
   484.00000  1.26116E-04  1.26116E-04
   485.00000  1.25265E-04  1.25265E-04
   486.00000  1.24422E-04  1.24422E-04
   487.00000  1.23586E-04  1.23586E-04
   488.00000  1.22757E-04  1.22757E-04
   489.00000  1.21935E-04  1.21935E-04
   490.00000  1.21121E-04  1.21121E-04
   491.00000  1.20313E-04  1.20313E-04
   492.00000  1.19513E-04  1.19513E-04
   493.00000  1.18719E-04  1.18719E-04
   494.00000  1.17932E-04  1.17932E-04
   495.00000  1.17152E-04  1.17152E-04
   496.00000  1.16378E-04  1.16378E-04
   497.00000  1.15611E-04  1.15611E-04
   498.00000  1.14851E-04  1.14851E-04
   499.00000  1.14097E-04  1.14097E-04
   500.00000  1.13350E-04  1.13350E-04
   501.00000  1.12609E-04  1.12609E-04
   502.00000  1.11874E-04  1.11874E-04
   503.00000  1.11145E-04  1.11145E-04
   504.00000  1.10423E-04  1.10423E-04
   505.00000  1.09707E-04  1.09707E-04
   506.00000  1.08996E-04  1.08996E-04
   507.00000  1.08292E-04  1.08292E-04
   508.00000  1.07593E-04  1.07593E-04
   509.00000  1.06901E-04  1.06901E-04
   510.00000  1.06214E-04  1.06214E-04
   511.00000  1.05533E-04  1.05533E-04
   512.00000  1.04858E-04  1.04858E-04
   513.00000  1.04188E-04  1.04188E-04
   514.00000  1.03524E-04  1.03524E-04
   515.00000  1.02865E-04  1.02865E-04
   516.00000  1.02212E-04  1.02212E-04
   517.00000  1.01564E-04  1.01564E-04
   518.00000  1.00921E-04  1.00921E-04
