# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 23-Jun-2026 18:17:36
# ---------------------------------------------------------------------
# Atom: He
#   nuclear charge:    2
#   total electrons:   2
#   total charge:     +0
#   configuration: 1s2
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    0
#
# SCF converged after   16 iterations
#   energy convergence  = -6.936E-08
#   density convergence =  1.710E-07
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =      -1.72124739  [       -46.84 eV ]
#   (SUM of E_kin) =       2.89208141
#   (Effec. pot E) =      -4.61332880
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =       2.89208141
#   E Latter corr  =      -0.15721986
#   Nuc-Elec pot E =      -6.76951375    One-Elec E =      -4.03465219
#
#   Hartree E      =       2.03607350
#   Exchange E     =      -1.31905664
#   Correlation E  =       0.00000000    Two-Elec E =       0.71701685
#   ---------------------------------
#   Total Energy   =      -3.31763534  [       -90.28 eV ]
#
#                E(0)        E(1)
# |E_TOT|      -46.84      -90.28
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2    -0.86062370     -23.418761      39.348768
#
#              1s
# |SCF|    -23.42
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.940       1.234      16.430    -1.2E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    3302
#   continuum_rmax(a.u.)  =      16.513 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s 
     0.00000  0.00000E+00  0.00000E+00
     1.00000  0.00000E+00  0.00000E+00
     2.00000  0.00000E+00  0.00000E+00
     3.00000  0.00000E+00  0.00000E+00
     4.00000  0.00000E+00  0.00000E+00
     5.00000  0.00000E+00  0.00000E+00
     6.00000  0.00000E+00  0.00000E+00
     7.00000  0.00000E+00  0.00000E+00
     8.00000  0.00000E+00  0.00000E+00
     9.00000  0.00000E+00  0.00000E+00
    10.00000  0.00000E+00  0.00000E+00
    11.00000  0.00000E+00  0.00000E+00
    12.00000  0.00000E+00  0.00000E+00
    13.00000  0.00000E+00  0.00000E+00
    14.00000  0.00000E+00  0.00000E+00
    15.00000  0.00000E+00  0.00000E+00
    16.00000  0.00000E+00  0.00000E+00
    17.00000  0.00000E+00  0.00000E+00
    18.00000  0.00000E+00  0.00000E+00
    19.00000  0.00000E+00  0.00000E+00
    20.00000  0.00000E+00  0.00000E+00
    21.00000  0.00000E+00  0.00000E+00
    22.00000  0.00000E+00  0.00000E+00
    23.00000  0.00000E+00  0.00000E+00
    24.00000  7.83193E+00  7.83193E+00
    25.00000  7.29780E+00  7.29780E+00
    26.00000  6.80620E+00  6.80620E+00
    27.00000  6.35389E+00  6.35389E+00
    28.00000  5.93808E+00  5.93808E+00
    29.00000  5.55594E+00  5.55594E+00
    30.00000  5.20460E+00  5.20460E+00
    31.00000  4.88137E+00  4.88137E+00
    32.00000  4.58377E+00  4.58377E+00
    33.00000  4.30953E+00  4.30953E+00
    34.00000  4.05656E+00  4.05656E+00
    35.00000  3.82293E+00  3.82293E+00
    36.00000  3.60691E+00  3.60691E+00
    37.00000  3.40693E+00  3.40693E+00
    38.00000  3.22157E+00  3.22157E+00
    39.00000  3.04955E+00  3.04955E+00
    40.00000  2.88971E+00  2.88971E+00
    41.00000  2.74100E+00  2.74100E+00
    42.00000  2.60248E+00  2.60248E+00
    43.00000  2.47329E+00  2.47329E+00
    44.00000  2.35267E+00  2.35267E+00
    45.00000  2.23992E+00  2.23992E+00
    46.00000  2.13440E+00  2.13440E+00
    47.00000  2.03554E+00  2.03554E+00
    48.00000  1.94283E+00  1.94283E+00
    49.00000  1.85578E+00  1.85578E+00
    50.00000  1.77397E+00  1.77397E+00
    51.00000  1.69700E+00  1.69700E+00
    52.00000  1.62453E+00  1.62453E+00
    53.00000  1.55622E+00  1.55622E+00
    54.00000  1.49177E+00  1.49177E+00
    55.00000  1.43092E+00  1.43092E+00
    56.00000  1.37340E+00  1.37340E+00
    57.00000  1.31900E+00  1.31900E+00
    58.00000  1.26750E+00  1.26750E+00
    59.00000  1.21871E+00  1.21871E+00
    60.00000  1.17245E+00  1.17245E+00
    61.00000  1.12855E+00  1.12855E+00
    62.00000  1.08686E+00  1.08686E+00
    63.00000  1.04725E+00  1.04725E+00
    64.00000  1.00958E+00  1.00958E+00
    65.00000  9.73738E-01  9.73738E-01
    66.00000  9.39607E-01  9.39607E-01
    67.00000  9.07086E-01  9.07086E-01
    68.00000  8.76079E-01  8.76079E-01
    69.00000  8.46499E-01  8.46499E-01
    70.00000  8.18262E-01  8.18262E-01
    71.00000  7.91291E-01  7.91291E-01
    72.00000  7.65516E-01  7.65516E-01
    73.00000  7.40870E-01  7.40870E-01
    74.00000  7.17290E-01  7.17290E-01
    75.00000  6.94718E-01  6.94718E-01
    76.00000  6.73101E-01  6.73101E-01
    77.00000  6.52386E-01  6.52386E-01
    78.00000  6.32528E-01  6.32528E-01
    79.00000  6.13480E-01  6.13480E-01
    80.00000  5.95202E-01  5.95202E-01
    81.00000  5.77655E-01  5.77655E-01
    82.00000  5.60801E-01  5.60801E-01
    83.00000  5.44606E-01  5.44606E-01
    84.00000  5.29038E-01  5.29038E-01
    85.00000  5.14066E-01  5.14066E-01
    86.00000  4.99661E-01  4.99661E-01
    87.00000  4.85796E-01  4.85796E-01
    88.00000  4.72447E-01  4.72447E-01
    89.00000  4.59588E-01  4.59588E-01
    90.00000  4.47197E-01  4.47197E-01
    91.00000  4.35252E-01  4.35252E-01
    92.00000  4.23734E-01  4.23734E-01
    93.00000  4.12623E-01  4.12623E-01
    94.00000  4.01901E-01  4.01901E-01
    95.00000  3.91551E-01  3.91551E-01
    96.00000  3.81557E-01  3.81557E-01
    97.00000  3.71903E-01  3.71903E-01
    98.00000  3.62574E-01  3.62574E-01
    99.00000  3.53558E-01  3.53558E-01
   100.00000  3.44840E-01  3.44840E-01
   101.00000  3.36409E-01  3.36409E-01
   102.00000  3.28252E-01  3.28252E-01
   103.00000  3.20358E-01  3.20358E-01
   104.00000  3.12717E-01  3.12717E-01
   105.00000  3.05319E-01  3.05319E-01
   106.00000  2.98153E-01  2.98153E-01
   107.00000  2.91210E-01  2.91210E-01
   108.00000  2.84483E-01  2.84483E-01
   109.00000  2.77962E-01  2.77962E-01
   110.00000  2.71639E-01  2.71639E-01
   111.00000  2.65507E-01  2.65507E-01
   112.00000  2.59559E-01  2.59559E-01
   113.00000  2.53788E-01  2.53788E-01
   114.00000  2.48187E-01  2.48187E-01
   115.00000  2.42749E-01  2.42749E-01
   116.00000  2.37470E-01  2.37470E-01
   117.00000  2.32343E-01  2.32343E-01
   118.00000  2.27362E-01  2.27362E-01
   119.00000  2.22522E-01  2.22522E-01
   120.00000  2.17819E-01  2.17819E-01
   121.00000  2.13248E-01  2.13248E-01
   122.00000  2.08803E-01  2.08803E-01
   123.00000  2.04481E-01  2.04481E-01
   124.00000  2.00277E-01  2.00277E-01
   125.00000  1.96187E-01  1.96187E-01
   126.00000  1.92208E-01  1.92208E-01
   127.00000  1.88335E-01  1.88335E-01
   128.00000  1.84565E-01  1.84565E-01
   129.00000  1.80895E-01  1.80895E-01
   130.00000  1.77321E-01  1.77321E-01
   131.00000  1.73840E-01  1.73840E-01
   132.00000  1.70450E-01  1.70450E-01
   133.00000  1.67146E-01  1.67146E-01
   134.00000  1.63927E-01  1.63927E-01
   135.00000  1.60789E-01  1.60789E-01
   136.00000  1.57731E-01  1.57731E-01
   137.00000  1.54749E-01  1.54749E-01
   138.00000  1.51841E-01  1.51841E-01
   139.00000  1.49006E-01  1.49006E-01
   140.00000  1.46239E-01  1.46239E-01
   141.00000  1.43541E-01  1.43541E-01
   142.00000  1.40908E-01  1.40908E-01
   143.00000  1.38338E-01  1.38338E-01
   144.00000  1.35830E-01  1.35830E-01
   145.00000  1.33382E-01  1.33382E-01
   146.00000  1.30992E-01  1.30992E-01
   147.00000  1.28657E-01  1.28657E-01
   148.00000  1.26378E-01  1.26378E-01
   149.00000  1.24151E-01  1.24151E-01
   150.00000  1.21976E-01  1.21976E-01
   151.00000  1.19851E-01  1.19851E-01
   152.00000  1.17775E-01  1.17775E-01
   153.00000  1.15746E-01  1.15746E-01
   154.00000  1.13762E-01  1.13762E-01
   155.00000  1.11823E-01  1.11823E-01
   156.00000  1.09928E-01  1.09928E-01
   157.00000  1.08074E-01  1.08074E-01
   158.00000  1.06262E-01  1.06262E-01
   159.00000  1.04489E-01  1.04489E-01
   160.00000  1.02755E-01  1.02755E-01
   161.00000  1.01058E-01  1.01058E-01
   162.00000  9.93985E-02  9.93985E-02
   163.00000  9.77744E-02  9.77744E-02
   164.00000  9.61850E-02  9.61850E-02
   165.00000  9.46294E-02  9.46294E-02
   166.00000  9.31067E-02  9.31067E-02
   167.00000  9.16160E-02  9.16160E-02
   168.00000  9.01565E-02  9.01565E-02
   169.00000  8.87274E-02  8.87274E-02
   170.00000  8.73279E-02  8.73279E-02
   171.00000  8.59572E-02  8.59572E-02
   172.00000  8.46145E-02  8.46145E-02
   173.00000  8.32993E-02  8.32993E-02
   174.00000  8.20108E-02  8.20108E-02
   175.00000  8.07482E-02  8.07482E-02
   176.00000  7.95110E-02  7.95110E-02
   177.00000  7.82986E-02  7.82986E-02
   178.00000  7.71103E-02  7.71103E-02
   179.00000  7.59455E-02  7.59455E-02
   180.00000  7.48036E-02  7.48036E-02
   181.00000  7.36841E-02  7.36841E-02
   182.00000  7.25865E-02  7.25865E-02
   183.00000  7.15101E-02  7.15101E-02
   184.00000  7.04546E-02  7.04546E-02
   185.00000  6.94194E-02  6.94194E-02
   186.00000  6.84039E-02  6.84039E-02
   187.00000  6.74079E-02  6.74079E-02
   188.00000  6.64307E-02  6.64307E-02
   189.00000  6.54719E-02  6.54719E-02
   190.00000  6.45312E-02  6.45312E-02
   191.00000  6.36081E-02  6.36081E-02
   192.00000  6.27021E-02  6.27021E-02
   193.00000  6.18130E-02  6.18130E-02
   194.00000  6.09402E-02  6.09402E-02
   195.00000  6.00835E-02  6.00835E-02
   196.00000  5.92425E-02  5.92425E-02
   197.00000  5.84167E-02  5.84167E-02
   198.00000  5.76060E-02  5.76060E-02
   199.00000  5.68098E-02  5.68098E-02
   200.00000  5.60280E-02  5.60280E-02
   201.00000  5.52601E-02  5.52601E-02
   202.00000  5.45059E-02  5.45059E-02
   203.00000  5.37651E-02  5.37651E-02
   204.00000  5.30374E-02  5.30374E-02
   205.00000  5.23224E-02  5.23224E-02
   206.00000  5.16200E-02  5.16200E-02
   207.00000  5.09298E-02  5.09298E-02
   208.00000  5.02517E-02  5.02517E-02
   209.00000  4.95852E-02  4.95852E-02
   210.00000  4.89302E-02  4.89302E-02
   211.00000  4.82864E-02  4.82864E-02
   212.00000  4.76537E-02  4.76537E-02
   213.00000  4.70317E-02  4.70317E-02
   214.00000  4.64202E-02  4.64202E-02
   215.00000  4.58190E-02  4.58190E-02
   216.00000  4.52280E-02  4.52280E-02
   217.00000  4.46468E-02  4.46468E-02
   218.00000  4.40753E-02  4.40753E-02
   219.00000  4.35133E-02  4.35133E-02
   220.00000  4.29606E-02  4.29606E-02
   221.00000  4.24170E-02  4.24170E-02
   222.00000  4.18824E-02  4.18824E-02
   223.00000  4.13564E-02  4.13564E-02
   224.00000  4.08391E-02  4.08391E-02
   225.00000  4.03301E-02  4.03301E-02
   226.00000  3.98293E-02  3.98293E-02
   227.00000  3.93366E-02  3.93366E-02
   228.00000  3.88518E-02  3.88518E-02
   229.00000  3.83747E-02  3.83747E-02
   230.00000  3.79053E-02  3.79053E-02
   231.00000  3.74432E-02  3.74432E-02
   232.00000  3.69885E-02  3.69885E-02
   233.00000  3.65409E-02  3.65409E-02
   234.00000  3.61003E-02  3.61003E-02
   235.00000  3.56667E-02  3.56667E-02
   236.00000  3.52397E-02  3.52397E-02
   237.00000  3.48194E-02  3.48194E-02
   238.00000  3.44055E-02  3.44055E-02
   239.00000  3.39981E-02  3.39981E-02
   240.00000  3.35968E-02  3.35968E-02
   241.00000  3.32017E-02  3.32017E-02
   242.00000  3.28127E-02  3.28127E-02
   243.00000  3.24295E-02  3.24295E-02
   244.00000  3.20521E-02  3.20521E-02
   245.00000  3.16804E-02  3.16804E-02
   246.00000  3.13142E-02  3.13142E-02
   247.00000  3.09536E-02  3.09536E-02
   248.00000  3.05983E-02  3.05983E-02
   249.00000  3.02483E-02  3.02483E-02
   250.00000  2.99034E-02  2.99034E-02
   251.00000  2.95637E-02  2.95637E-02
   252.00000  2.92289E-02  2.92289E-02
   253.00000  2.88990E-02  2.88990E-02
   254.00000  2.85740E-02  2.85740E-02
   255.00000  2.82537E-02  2.82537E-02
   256.00000  2.79380E-02  2.79380E-02
   257.00000  2.76269E-02  2.76269E-02
   258.00000  2.73202E-02  2.73202E-02
   259.00000  2.70180E-02  2.70180E-02
   260.00000  2.67201E-02  2.67201E-02
   261.00000  2.64264E-02  2.64264E-02
   262.00000  2.61369E-02  2.61369E-02
   263.00000  2.58515E-02  2.58515E-02
   264.00000  2.55701E-02  2.55701E-02
   265.00000  2.52927E-02  2.52927E-02
   266.00000  2.50192E-02  2.50192E-02
   267.00000  2.47495E-02  2.47495E-02
   268.00000  2.44835E-02  2.44835E-02
   269.00000  2.42213E-02  2.42213E-02
   270.00000  2.39626E-02  2.39626E-02
   271.00000  2.37076E-02  2.37076E-02
   272.00000  2.34560E-02  2.34560E-02
   273.00000  2.32079E-02  2.32079E-02
   274.00000  2.29632E-02  2.29632E-02
   275.00000  2.27218E-02  2.27218E-02
   276.00000  2.24837E-02  2.24837E-02
   277.00000  2.22488E-02  2.22488E-02
   278.00000  2.20171E-02  2.20171E-02
   279.00000  2.17885E-02  2.17885E-02
   280.00000  2.15629E-02  2.15629E-02
   281.00000  2.13404E-02  2.13404E-02
   282.00000  2.11208E-02  2.11208E-02
   283.00000  2.09042E-02  2.09042E-02
   284.00000  2.06904E-02  2.06904E-02
   285.00000  2.04795E-02  2.04795E-02
   286.00000  2.02713E-02  2.02713E-02
   287.00000  2.00658E-02  2.00658E-02
   288.00000  1.98631E-02  1.98631E-02
   289.00000  1.96629E-02  1.96629E-02
   290.00000  1.94654E-02  1.94654E-02
   291.00000  1.92705E-02  1.92705E-02
   292.00000  1.90780E-02  1.90780E-02
   293.00000  1.88880E-02  1.88880E-02
   294.00000  1.87005E-02  1.87005E-02
   295.00000  1.85154E-02  1.85154E-02
   296.00000  1.83326E-02  1.83326E-02
   297.00000  1.81522E-02  1.81522E-02
   298.00000  1.79741E-02  1.79741E-02
   299.00000  1.77982E-02  1.77982E-02
   300.00000  1.76245E-02  1.76245E-02
   301.00000  1.74530E-02  1.74530E-02
   302.00000  1.72837E-02  1.72837E-02
   303.00000  1.71165E-02  1.71165E-02
   304.00000  1.69513E-02  1.69513E-02
   305.00000  1.67883E-02  1.67883E-02
   306.00000  1.66272E-02  1.66272E-02
   307.00000  1.64682E-02  1.64682E-02
   308.00000  1.63111E-02  1.63111E-02
   309.00000  1.61559E-02  1.61559E-02
   310.00000  1.60026E-02  1.60026E-02
   311.00000  1.58513E-02  1.58513E-02
   312.00000  1.57017E-02  1.57017E-02
   313.00000  1.55540E-02  1.55540E-02
   314.00000  1.54081E-02  1.54081E-02
   315.00000  1.52639E-02  1.52639E-02
   316.00000  1.51215E-02  1.51215E-02
   317.00000  1.49808E-02  1.49808E-02
   318.00000  1.48417E-02  1.48417E-02
   319.00000  1.47044E-02  1.47044E-02
   320.00000  1.45686E-02  1.45686E-02
   321.00000  1.44345E-02  1.44345E-02
   322.00000  1.43020E-02  1.43020E-02
   323.00000  1.41711E-02  1.41711E-02
   324.00000  1.40417E-02  1.40417E-02
   325.00000  1.39138E-02  1.39138E-02
   326.00000  1.37874E-02  1.37874E-02
   327.00000  1.36625E-02  1.36625E-02
   328.00000  1.35390E-02  1.35390E-02
   329.00000  1.34170E-02  1.34170E-02
   330.00000  1.32964E-02  1.32964E-02
   331.00000  1.31772E-02  1.31772E-02
   332.00000  1.30594E-02  1.30594E-02
   333.00000  1.29429E-02  1.29429E-02
   334.00000  1.28278E-02  1.28278E-02
   335.00000  1.27140E-02  1.27140E-02
   336.00000  1.26015E-02  1.26015E-02
   337.00000  1.24903E-02  1.24903E-02
   338.00000  1.23803E-02  1.23803E-02
   339.00000  1.22716E-02  1.22716E-02
   340.00000  1.21641E-02  1.21641E-02
   341.00000  1.20578E-02  1.20578E-02
   342.00000  1.19527E-02  1.19527E-02
   343.00000  1.18488E-02  1.18488E-02
   344.00000  1.17461E-02  1.17461E-02
   345.00000  1.16445E-02  1.16445E-02
   346.00000  1.15440E-02  1.15440E-02
   347.00000  1.14447E-02  1.14447E-02
   348.00000  1.13464E-02  1.13464E-02
   349.00000  1.12493E-02  1.12493E-02
   350.00000  1.11532E-02  1.11532E-02
   351.00000  1.10581E-02  1.10581E-02
   352.00000  1.09641E-02  1.09641E-02
   353.00000  1.08712E-02  1.08712E-02
   354.00000  1.07792E-02  1.07792E-02
   355.00000  1.06883E-02  1.06883E-02
   356.00000  1.05983E-02  1.05983E-02
   357.00000  1.05093E-02  1.05093E-02
   358.00000  1.04213E-02  1.04213E-02
   359.00000  1.03342E-02  1.03342E-02
   360.00000  1.02481E-02  1.02481E-02
   361.00000  1.01629E-02  1.01629E-02
   362.00000  1.00786E-02  1.00786E-02
   363.00000  9.99515E-03  9.99515E-03
   364.00000  9.91264E-03  9.91264E-03
   365.00000  9.83100E-03  9.83100E-03
   366.00000  9.75022E-03  9.75022E-03
   367.00000  9.67030E-03  9.67030E-03
   368.00000  9.59122E-03  9.59122E-03
   369.00000  9.51298E-03  9.51298E-03
   370.00000  9.43555E-03  9.43555E-03
   371.00000  9.35894E-03  9.35894E-03
   372.00000  9.28313E-03  9.28313E-03
   373.00000  9.20810E-03  9.20810E-03
   374.00000  9.13386E-03  9.13386E-03
   375.00000  9.06039E-03  9.06039E-03
   376.00000  8.98767E-03  8.98767E-03
   377.00000  8.91571E-03  8.91571E-03
   378.00000  8.84449E-03  8.84449E-03
   379.00000  8.77400E-03  8.77400E-03
   380.00000  8.70423E-03  8.70423E-03
   381.00000  8.63517E-03  8.63517E-03
   382.00000  8.56682E-03  8.56682E-03
   383.00000  8.49917E-03  8.49917E-03
   384.00000  8.43220E-03  8.43220E-03
   385.00000  8.36591E-03  8.36591E-03
   386.00000  8.30029E-03  8.30029E-03
   387.00000  8.23533E-03  8.23533E-03
   388.00000  8.17102E-03  8.17102E-03
   389.00000  8.10736E-03  8.10736E-03
   390.00000  8.04434E-03  8.04434E-03
   391.00000  7.98195E-03  7.98195E-03
   392.00000  7.92018E-03  7.92018E-03
   393.00000  7.85902E-03  7.85902E-03
   394.00000  7.79847E-03  7.79847E-03
   395.00000  7.73852E-03  7.73852E-03
   396.00000  7.67916E-03  7.67916E-03
   397.00000  7.62038E-03  7.62038E-03
   398.00000  7.56219E-03  7.56219E-03
   399.00000  7.50456E-03  7.50456E-03
   400.00000  7.44750E-03  7.44750E-03
   401.00000  7.39100E-03  7.39100E-03
   402.00000  7.33505E-03  7.33505E-03
   403.00000  7.27964E-03  7.27964E-03
   404.00000  7.22477E-03  7.22477E-03
   405.00000  7.17043E-03  7.17043E-03
   406.00000  7.11661E-03  7.11661E-03
   407.00000  7.06332E-03  7.06332E-03
   408.00000  7.01054E-03  7.01054E-03
   409.00000  6.95826E-03  6.95826E-03
   410.00000  6.90649E-03  6.90649E-03
   411.00000  6.85521E-03  6.85521E-03
   412.00000  6.80442E-03  6.80442E-03
   413.00000  6.75411E-03  6.75411E-03
   414.00000  6.70428E-03  6.70428E-03
   415.00000  6.65493E-03  6.65493E-03
   416.00000  6.60604E-03  6.60604E-03
   417.00000  6.55761E-03  6.55761E-03
   418.00000  6.50964E-03  6.50964E-03
   419.00000  6.46212E-03  6.46212E-03
   420.00000  6.41504E-03  6.41504E-03
   421.00000  6.36841E-03  6.36841E-03
   422.00000  6.32221E-03  6.32221E-03
   423.00000  6.27644E-03  6.27644E-03
   424.00000  6.23110E-03  6.23110E-03
   425.00000  6.18617E-03  6.18617E-03
   426.00000  6.14167E-03  6.14167E-03
   427.00000  6.09757E-03  6.09757E-03
   428.00000  6.05389E-03  6.05389E-03
   429.00000  6.01060E-03  6.01060E-03
   430.00000  5.96771E-03  5.96771E-03
   431.00000  5.92522E-03  5.92522E-03
   432.00000  5.88311E-03  5.88311E-03
   433.00000  5.84139E-03  5.84139E-03
   434.00000  5.80004E-03  5.80004E-03
   435.00000  5.75907E-03  5.75907E-03
   436.00000  5.71848E-03  5.71848E-03
   437.00000  5.67825E-03  5.67825E-03
   438.00000  5.63838E-03  5.63838E-03
   439.00000  5.59888E-03  5.59888E-03
   440.00000  5.55973E-03  5.55973E-03
   441.00000  5.52093E-03  5.52093E-03
   442.00000  5.48248E-03  5.48248E-03
   443.00000  5.44437E-03  5.44437E-03
   444.00000  5.40660E-03  5.40660E-03
   445.00000  5.36917E-03  5.36917E-03
   446.00000  5.33207E-03  5.33207E-03
   447.00000  5.29529E-03  5.29529E-03
   448.00000  5.25885E-03  5.25885E-03
   449.00000  5.22272E-03  5.22272E-03
   450.00000  5.18692E-03  5.18692E-03
   451.00000  5.15143E-03  5.15143E-03
   452.00000  5.11625E-03  5.11625E-03
   453.00000  5.08138E-03  5.08138E-03
   454.00000  5.04681E-03  5.04681E-03
   455.00000  5.01255E-03  5.01255E-03
   456.00000  4.97858E-03  4.97858E-03
   457.00000  4.94491E-03  4.94491E-03
   458.00000  4.91153E-03  4.91153E-03
   459.00000  4.87844E-03  4.87844E-03
   460.00000  4.84564E-03  4.84564E-03
   461.00000  4.81312E-03  4.81312E-03
   462.00000  4.78088E-03  4.78088E-03
   463.00000  4.74892E-03  4.74892E-03
   464.00000  4.71723E-03  4.71723E-03
   465.00000  4.68581E-03  4.68581E-03
   466.00000  4.65466E-03  4.65466E-03
   467.00000  4.62378E-03  4.62378E-03
   468.00000  4.59316E-03  4.59316E-03
   469.00000  4.56280E-03  4.56280E-03
   470.00000  4.53269E-03  4.53269E-03
   471.00000  4.50285E-03  4.50285E-03
   472.00000  4.47325E-03  4.47325E-03
   473.00000  4.44390E-03  4.44390E-03
   474.00000  4.41481E-03  4.41481E-03
   475.00000  4.38595E-03  4.38595E-03
   476.00000  4.35734E-03  4.35734E-03
   477.00000  4.32897E-03  4.32897E-03
   478.00000  4.30083E-03  4.30083E-03
   479.00000  4.27293E-03  4.27293E-03
   480.00000  4.24526E-03  4.24526E-03
   481.00000  4.21782E-03  4.21782E-03
   482.00000  4.19061E-03  4.19061E-03
   483.00000  4.16363E-03  4.16363E-03
   484.00000  4.13686E-03  4.13686E-03
   485.00000  4.11032E-03  4.11032E-03
   486.00000  4.08400E-03  4.08400E-03
   487.00000  4.05789E-03  4.05789E-03
   488.00000  4.03200E-03  4.03200E-03
   489.00000  4.00632E-03  4.00632E-03
   490.00000  3.98084E-03  3.98084E-03
   491.00000  3.95558E-03  3.95558E-03
   492.00000  3.93052E-03  3.93052E-03
   493.00000  3.90567E-03  3.90567E-03
   494.00000  3.88101E-03  3.88101E-03
   495.00000  3.85656E-03  3.85656E-03
   496.00000  3.83230E-03  3.83230E-03
   497.00000  3.80824E-03  3.80824E-03
   498.00000  3.78438E-03  3.78438E-03
   499.00000  3.76070E-03  3.76070E-03
   500.00000  3.73722E-03  3.73722E-03
   501.00000  3.71392E-03  3.71392E-03
   502.00000  3.69081E-03  3.69081E-03
   503.00000  3.66788E-03  3.66788E-03
   504.00000  3.64513E-03  3.64513E-03
   505.00000  3.62257E-03  3.62257E-03
   506.00000  3.60019E-03  3.60019E-03
   507.00000  3.57798E-03  3.57798E-03
   508.00000  3.55595E-03  3.55595E-03
   509.00000  3.53409E-03  3.53409E-03
   510.00000  3.51240E-03  3.51240E-03
   511.00000  3.49089E-03  3.49089E-03
   512.00000  3.46954E-03  3.46954E-03
   513.00000  3.44836E-03  3.44836E-03
   514.00000  3.42735E-03  3.42735E-03
   515.00000  3.40650E-03  3.40650E-03
   516.00000  3.38581E-03  3.38581E-03
   517.00000  3.36529E-03  3.36529E-03
   518.00000  3.34492E-03  3.34492E-03
