# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 23-Jun-2026 18:17:27
# ---------------------------------------------------------------------
# ==============================================================================
# DUMP command line: -s He -pcs -PE 0-1000 -dE 1 -v 
# ==============================================================================
#
# Atom: He
#   nuclear charge:    2
#   total electrons:   2
#   total charge:     +0
#   configuration: 1s2
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# SCF procedure:
#   max iteration =  100
#   convergence for energy  =  1.0E-07
#   convergence for density =  1.0E-06
#   mixing ratio =  0.60 of new potentials
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    0
#
# iter    E(orb)   E(exch)   E(Coul)     E(J)*      E(total)     diff.
#    1   -4.0000   -1.6082   -0.3558    2.5001    -5.9640612  5.96E+00
#    2   -1.5068   -1.1990   -0.2500    1.8487    -2.9558281 -3.01E+00
#    3   -1.6981   -1.3044   -0.2742    2.0135    -3.2767452  3.21E-01
#    4   -1.7197   -1.3170   -0.2770    2.0331    -3.3137736  3.70E-02
#    5   -1.7217   -1.3188   -0.2773    2.0357    -3.3177702  4.00E-03
#    6   -1.7216   -1.3190   -0.2773    2.0360    -3.3179171  1.47E-04
#    7   -1.7214   -1.3190   -0.2773    2.0361    -3.3177798 -1.37E-04
#    8   -1.7213   -1.3191   -0.2773    2.0361    -3.3176979 -8.19E-05
#    9   -1.7213   -1.3191   -0.2773    2.0361    -3.3176612 -3.67E-05
#   10   -1.7213   -1.3191   -0.2773    2.0361    -3.3176459 -1.53E-05
#   11   -1.7213   -1.3191   -0.2773    2.0361    -3.3176396 -6.28E-06
#   12   -1.7212   -1.3191   -0.2773    2.0361    -3.3176370 -2.56E-06
#   13   -1.7212   -1.3191   -0.2773    2.0361    -3.3176360 -1.04E-06
#   14   -1.7212   -1.3191   -0.2773    2.0361    -3.3176356 -4.21E-07
#   15   -1.7212   -1.3191   -0.2773    2.0361    -3.3176354 -1.71E-07
#   16   -1.7212   -1.3191   -0.2773    2.0361    -3.3176353 -6.94E-08
# --------------------------------------------------------------------
#        -1.7212   -1.3191   -0.2773    2.0361    -3.3176353 converged
#
# SCF converged after   16 iterations
#   energy convergence  = -6.936E-08
#   density convergence =  1.710E-07
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =      -1.72124739  [       -46.84 eV ]
#   (SUM of E_kin) =       2.89208141
#   (Effec. pot E) =      -4.61332880
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =       2.89208141
#   E Latter corr  =      -0.15721986
#   Nuc-Elec pot E =      -6.76951375    One-Elec E =      -4.03465219
#
#   Hartree E      =       2.03607350
#   Exchange E     =      -1.31905664
#   Correlation E  =       0.00000000    Two-Elec E =       0.71701685
#   ---------------------------------
#   Total Energy   =      -3.31763534  [       -90.28 eV ]
#
#                E(0)        E(1)
# |E_TOT|      -46.84      -90.28
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2    -0.86062370     -23.418761      39.348768
#
#              1s
# |SCF|    -23.42
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.940       1.234      16.430    -1.2E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    3302
#   continuum_rmax(a.u.)  =      16.513 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s 
#
#                       P.E. =     0.00     n,l -        E,l             R_int
#
     0.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =     1.00     n,l -        E,l             R_int
#
     1.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =     2.00     n,l -        E,l             R_int
#
     2.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =     3.00     n,l -        E,l             R_int
#
     3.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =     4.00     n,l -        E,l             R_int
#
     4.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =     5.00     n,l -        E,l             R_int
#
     5.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =     6.00     n,l -        E,l             R_int
#
     6.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =     7.00     n,l -        E,l             R_int
#
     7.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =     8.00     n,l -        E,l             R_int
#
     8.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =     9.00     n,l -        E,l             R_int
#
     9.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    10.00     n,l -        E,l             R_int
#
    10.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    11.00     n,l -        E,l             R_int
#
    11.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    12.00     n,l -        E,l             R_int
#
    12.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    13.00     n,l -        E,l             R_int
#
    13.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    14.00     n,l -        E,l             R_int
#
    14.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    15.00     n,l -        E,l             R_int
#
    15.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    16.00     n,l -        E,l             R_int
#
    16.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    17.00     n,l -        E,l             R_int
#
    17.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    18.00     n,l -        E,l             R_int
#
    18.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    19.00     n,l -        E,l             R_int
#
    19.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    20.00     n,l -        E,l             R_int
#
    20.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    21.00     n,l -        E,l             R_int
#
    21.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    22.00     n,l -        E,l             R_int
#
    22.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    23.00     n,l -        E,l             R_int
#
    23.00000  0.00000E+00  0.00000E+00
#
#                       P.E. =    24.00     n,l -        E,l             R_int
#                                           1 0 -     0.58 1       1.28495E+00
#
    24.00000  7.83193E+00  7.83193E+00
#
#                       P.E. =    25.00     n,l -        E,l             R_int
#                                           1 0 -     1.58 1       1.21530E+00
#
    25.00000  7.29780E+00  7.29780E+00
#
#                       P.E. =    26.00     n,l -        E,l             R_int
#                                           1 0 -     2.58 1       1.15086E+00
#
    26.00000  6.80620E+00  6.80620E+00
#
#                       P.E. =    27.00     n,l -        E,l             R_int
#                                           1 0 -     3.58 1       1.09118E+00
#
    27.00000  6.35389E+00  6.35389E+00
#
#                       P.E. =    28.00     n,l -        E,l             R_int
#                                           1 0 -     4.58 1       1.03586E+00
#
    28.00000  5.93808E+00  5.93808E+00
#
#                       P.E. =    29.00     n,l -        E,l             R_int
#                                           1 0 -     5.58 1       9.84549E-01
#
    29.00000  5.55594E+00  5.55594E+00
#
#                       P.E. =    30.00     n,l -        E,l             R_int
#                                           1 0 -     6.58 1       9.36894E-01
#
    30.00000  5.20460E+00  5.20460E+00
#
#                       P.E. =    31.00     n,l -        E,l             R_int
#                                           1 0 -     7.58 1       8.92580E-01
#
