# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 17-Oct-2024 13:25:47
# ---------------------------------------------------------------------
# Atom: Kr
#   nuclear charge:   36
#   total electrons:  36
#   total charge:     +0
#   configuration: 1s2_2s2_2p6_3s2_3p6_4s2_3d10_4p6
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    2
#
# SCF converged after   26 iterations
#   energy convergence  = -7.913E-08
#   density convergence =  8.600E-09
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =   -1641.66639950  [    -44672.01 eV ]
#   (SUM of E_kin) =    2791.09187334
#   (Effec. pot E) =   -4432.75827284
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =    2791.09187334
#   E Latter corr  =      -0.03904524
#   Nuc-Elec pot E =   -6642.36122925    One-Elec E =   -3851.30840116
#
#   Hartree E      =    1194.64097651
#   Exchange E     =    -134.72996352
#   Correlation E  =       0.00000000    Two-Elec E =    1059.91101299
#   ---------------------------------
#   Total Energy   =   -2791.39738817  [    -75957.78 eV ]
#
#                E(0)        E(1)
# |E_TOT|   -44672.01   -75957.78
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2  -515.31098822  -14022.324871   17206.422287
#   2s       2   -67.76197903   -1843.897191    3419.096248
#   2p       6   -61.62300442   -1676.847200    3425.011484
#   3s       2    -9.86475373    -268.433596     843.197974
#   3p       6    -7.62505121    -207.488192     794.861886
#   4s       2    -0.97347329     -26.489555     139.764167
#   3d      10    -3.54963469     -96.590471     681.847369
#   4p       6    -0.47655504     -12.967722      99.132635
#
#              1s        2s        2p        3s        3p        4s        3d        4p
# |SCF| -14022.32  -1843.90  -1676.85   -268.43   -207.49    -26.49    -96.59    -12.97
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.042       0.002       0.705     6.7E-05
#   2s       0.187       0.041       1.980     6.6E-06
#   2p       0.161       0.032       2.025    -6.7E-08
#   3s       0.536       0.329       5.090     1.0E-06
#   3p       0.537       0.337       5.650    -7.1E-08
#   4s       1.552       2.760      15.950     2.7E-08
#   3d       0.538       0.355       7.770    -3.1E-08
#   4p       1.867       4.109      22.630    -8.9E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    4617
#   continuum_rmax(a.u.)  =      23.087 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total         1s           2s           2p           3s           3p           4s           3d           4p  
 14000.00000  2.59407E-03  0.00000E+00  1.24202E-03  9.63345E-04  1.99530E-04  1.43553E-04  2.45712E-05  8.36053E-06  1.26955E-05
 14001.00000  2.59355E-03  0.00000E+00  1.24180E-03  9.63111E-04  1.99495E-04  1.43519E-04  2.45670E-05  8.35792E-06  1.26925E-05
 14002.00000  2.59302E-03  0.00000E+00  1.24159E-03  9.62877E-04  1.99460E-04  1.43485E-04  2.45628E-05  8.35532E-06  1.26896E-05
 14003.00000  2.59249E-03  0.00000E+00  1.24137E-03  9.62643E-04  1.99426E-04  1.43451E-04  2.45586E-05  8.35272E-06  1.26866E-05
 14004.00000  2.59196E-03  0.00000E+00  1.24116E-03  9.62409E-04  1.99391E-04  1.43417E-04  2.45544E-05  8.35011E-06  1.26836E-05
 14005.00000  2.59144E-03  0.00000E+00  1.24094E-03  9.62176E-04  1.99356E-04  1.43383E-04  2.45502E-05  8.34751E-06  1.26806E-05
 14006.00000  2.59091E-03  0.00000E+00  1.24073E-03  9.61942E-04  1.99322E-04  1.43349E-04  2.45460E-05  8.34491E-06  1.26776E-05
 14007.00000  2.59038E-03  0.00000E+00  1.24051E-03  9.61709E-04  1.99287E-04  1.43316E-04  2.45418E-05  8.34231E-06  1.26747E-05
 14008.00000  2.58986E-03  0.00000E+00  1.24030E-03  9.61475E-04  1.99252E-04  1.43282E-04  2.45376E-05  8.33972E-06  1.26717E-05
 14009.00000  2.58933E-03  0.00000E+00  1.24008E-03  9.61242E-04  1.99218E-04  1.43248E-04  2.45334E-05  8.33712E-06  1.26687E-05
 14010.00000  2.58880E-03  0.00000E+00  1.23987E-03  9.61008E-04  1.99183E-04  1.43214E-04  2.45292E-05  8.33452E-06  1.26657E-05
 14011.00000  2.58828E-03  0.00000E+00  1.23965E-03  9.60775E-04  1.99149E-04  1.43180E-04  2.45250E-05  8.33193E-06  1.26627E-05
 14012.00000  2.58775E-03  0.00000E+00  1.23944E-03  9.60542E-04  1.99114E-04  1.43147E-04  2.45208E-05  8.32933E-06  1.26598E-05
 14013.00000  2.58723E-03  0.00000E+00  1.23922E-03  9.60309E-04  1.99079E-04  1.43113E-04  2.45166E-05  8.32674E-06  1.26568E-05
 14014.00000  2.58670E-03  0.00000E+00  1.23901E-03  9.60076E-04  1.99045E-04  1.43079E-04  2.45124E-05  8.32415E-06  1.26538E-05
 14015.00000  2.58617E-03  0.00000E+00  1.23879E-03  9.59843E-04  1.99010E-04  1.43045E-04  2.45082E-05  8.32155E-06  1.26508E-05
 14016.00000  2.58565E-03  0.00000E+00  1.23858E-03  9.59610E-04  1.98976E-04  1.43011E-04  2.45040E-05  8.31896E-06  1.26479E-05
 14017.00000  2.58512E-03  0.00000E+00  1.23837E-03  9.59377E-04  1.98941E-04  1.42978E-04  2.44998E-05  8.31637E-06  1.26449E-05
