# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 17-Oct-2024  9:25:34
# ---------------------------------------------------------------------
# Atom: N
#   nuclear charge:    7
#   total electrons:   7
#   total charge:     +0
#   configuration: 1s2_2s2_2p3
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# SCF converged after   22 iterations
#   energy convergence  = -7.875E-08
#   density convergence =  7.992E-09
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =     -32.69969525  [      -889.80 eV ]
#   (SUM of E_kin) =      56.22710588
#   (Effec. pot E) =     -88.92680113
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =      56.22710588
#   E Latter corr  =      -0.06340575
#   Nuc-Elec pot E =    -130.63838522    One-Elec E =     -74.47468510
#
#   Hartree E      =      26.74291002
#   Exchange E     =      -8.78312265
#   Correlation E  =       0.00000000    Two-Elec E =      17.95978737
#   ---------------------------------
#   Total Energy   =     -56.51489772  [     -1537.85 eV ]
#
#                E(0)        E(1)
# |E_TOT|     -889.80    -1537.85
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -14.86854593    -404.593704     613.355830
#   2s       2    -0.84794340     -23.073713      69.070615
#   2p       3    -0.42223887     -11.489704      55.054816
#
#              1s        2s        2p
# |SCF|   -404.59    -23.07    -11.49
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.227       0.069       3.900     4.4E-08
#   2s       1.283       2.005      16.795    -4.3E-08
#   2p       1.413       2.662      23.705    -1.5E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    4887
#   continuum_rmax(a.u.)  =      24.437 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s           2s           2p 
   400.00000  4.01379E-02  0.00000E+00  3.18744E-02  8.26344E-03
   401.00000  3.98919E-02  0.00000E+00  3.16948E-02  8.19704E-03
   402.00000  3.96479E-02  0.00000E+00  3.15166E-02  8.13132E-03
   403.00000  3.94060E-02  0.00000E+00  3.13397E-02  8.06625E-03
   404.00000  3.91661E-02  0.00000E+00  3.11642E-02  8.00184E-03
   405.00000  6.98057E-01  6.59129E-01  3.09901E-02  7.93808E-03
   406.00000  6.94882E-01  6.56190E-01  3.08172E-02  7.87496E-03
   407.00000  6.91163E-01  6.52705E-01  3.06457E-02  7.81247E-03
   408.00000  6.87153E-01  6.48927E-01  3.04755E-02  7.75060E-03
   409.00000  6.83024E-01  6.45028E-01  3.03066E-02  7.68935E-03
   410.00000  6.78894E-01  6.41127E-01  3.01389E-02  7.62871E-03
   411.00000  6.74833E-01  6.37292E-01  2.99725E-02  7.56867E-03
   412.00000  6.70885E-01  6.33569E-01  2.98073E-02  7.50923E-03
   413.00000  6.67076E-01  6.29983E-01  2.96434E-02  7.45037E-03
   414.00000  6.63416E-01  6.26544E-01  2.94807E-02  7.39210E-03
   415.00000  6.59909E-01  6.23255E-01  2.93192E-02  7.33439E-03
   416.00000  6.56551E-01  6.20114E-01  2.91589E-02  7.27726E-03
   417.00000  6.53335E-01  6.17115E-01  2.89998E-02  7.22068E-03
   418.00000  6.50253E-01  6.14247E-01  2.88419E-02  7.16466E-03
   419.00000  6.47296E-01  6.11502E-01  2.86851E-02  7.10919E-03
   420.00000  6.44452E-01  6.08868E-01  2.85295E-02  7.05425E-03
   421.00000  6.41711E-01  6.06336E-01  2.83751E-02  6.99986E-03
   422.00000  6.39061E-01  6.03894E-01  2.82217E-02  6.94599E-03
   423.00000  6.36494E-01  6.01532E-01  2.80695E-02  6.89264E-03
   424.00000  6.33999E-01  5.99241E-01  2.79184E-02  6.83981E-03
   425.00000  6.31567E-01  5.97012E-01  2.77684E-02  6.78748E-03
   426.00000  6.29190E-01  5.94835E-01  2.76194E-02  6.73566E-03
   427.00000  6.26858E-01  5.92702E-01  2.74716E-02  6.68434E-03
   428.00000  6.24565E-01  5.90607E-01  2.73248E-02  6.63352E-03
   429.00000  6.22305E-01  5.88542E-01  2.71790E-02  6.58317E-03
   430.00000  6.20069E-01  5.86502E-01  2.70344E-02  6.53331E-03
   431.00000  6.17854E-01  5.84479E-01  2.68907E-02  6.48393E-03
   432.00000  6.15653E-01  5.82470E-01  2.67481E-02  6.43501E-03
   433.00000  6.13462E-01  5.80469E-01  2.66065E-02  6.38656E-03
   434.00000  6.11277E-01  5.78472E-01  2.64659E-02  6.33857E-03
   435.00000  6.09093E-01  5.76476E-01  2.63263E-02  6.29103E-03
   436.00000  6.06908E-01  5.74476E-01  2.61876E-02  6.24394E-03
   437.00000  6.04718E-01  5.72471E-01  2.60500E-02  6.19729E-03
   438.00000  6.02521E-01  5.70457E-01  2.59133E-02  6.15108E-03
   439.00000  6.00315E-01  5.68432E-01  2.57776E-02  6.10531E-03
   440.00000  5.98097E-01  5.66394E-01  2.56429E-02  6.05996E-03
   441.00000  5.95866E-01  5.64342E-01  2.55091E-02  6.01504E-03
   442.00000  5.93621E-01  5.62274E-01  2.53762E-02  5.97053E-03
   443.00000  5.91360E-01  5.60190E-01  2.52442E-02  5.92644E-03
   444.00000  5.89083E-01  5.58087E-01  2.51132E-02  5.88276E-03
   445.00000  5.86789E-01  5.55967E-01  2.49831E-02  5.83949E-03
   446.00000  5.84478E-01  5.53827E-01  2.48538E-02  5.79661E-03
   447.00000  5.82148E-01  5.51669E-01  2.47255E-02  5.75414E-03
   448.00000  5.79801E-01  5.49491E-01  2.45981E-02  5.71205E-03
   449.00000  5.77436E-01  5.47294E-01  2.44715E-02  5.67035E-03
   450.00000  5.75054E-01  5.45079E-01  2.43458E-02  5.62903E-03
   451.00000  5.72654E-01  5.42845E-01  2.42210E-02  5.58810E-03
   452.00000  5.70238E-01  5.40593E-01  2.40970E-02  5.54754E-03
   453.00000  5.67805E-01  5.38324E-01  2.39738E-02  5.50735E-03
   454.00000  5.65357E-01  5.36038E-01  2.38515E-02  5.46752E-03
   455.00000  5.62894E-01  5.33736E-01  2.37301E-02  5.42806E-03
   456.00000  5.60416E-01  5.31418E-01  2.36094E-02  5.38896E-03
   457.00000  5.57926E-01  5.29086E-01  2.34896E-02  5.35021E-03
   458.00000  5.55423E-01  5.26740E-01  2.33706E-02  5.31182E-03
   459.00000  5.52908E-01  5.24382E-01  2.32524E-02  5.27377E-03
   460.00000  5.50383E-01  5.22012E-01  2.31350E-02  5.23606E-03
   461.00000  5.47849E-01  5.19632E-01  2.30184E-02  5.19870E-03
   462.00000  5.45306E-01  5.17242E-01  2.29025E-02  5.16167E-03
   463.00000  5.42755E-01  5.14843E-01  2.27874E-02  5.12498E-03
   464.00000  5.40198E-01  5.12437E-01  2.26731E-02  5.08861E-03
   465.00000  5.37636E-01  5.10024E-01  2.25596E-02  5.05257E-03
   466.00000  5.35069E-01  5.07606E-01  2.24468E-02  5.01685E-03
   467.00000  5.32499E-01  5.05183E-01  2.23348E-02  4.98145E-03
   468.00000  5.29926E-01  5.02756E-01  2.22235E-02  4.94636E-03
   469.00000  5.27352E-01  5.00328E-01  2.21130E-02  4.91159E-03
   470.00000  5.24778E-01  4.97898E-01  2.20031E-02  4.87712E-03
   471.00000  5.22204E-01  4.95467E-01  2.18941E-02  4.84296E-03
   472.00000  5.19632E-01  4.93037E-01  2.17857E-02  4.80910E-03
   473.00000  5.17062E-01  4.90608E-01  2.16780E-02  4.77553E-03
   474.00000  5.14495E-01  4.88182E-01  2.15711E-02  4.74227E-03
   475.00000  5.11933E-01  4.85759E-01  2.14648E-02  4.70929E-03
   476.00000  5.09375E-01  4.83339E-01  2.13593E-02  4.67660E-03
   477.00000  5.06824E-01  4.80925E-01  2.12544E-02  4.64420E-03
   478.00000  5.04279E-01  4.78516E-01  2.11502E-02  4.61208E-03
   479.00000  5.01741E-01  4.76114E-01  2.10467E-02  4.58024E-03
   480.00000  4.99211E-01  4.73719E-01  2.09439E-02  4.54868E-03
   481.00000  4.96690E-01  4.71331E-01  2.08417E-02  4.51739E-03
   482.00000  4.94179E-01  4.68952E-01  2.07402E-02  4.48637E-03
   483.00000  4.91677E-01  4.66583E-01  2.06394E-02  4.45562E-03
   484.00000  4.89187E-01  4.64222E-01  2.05392E-02  4.42514E-03
   485.00000  4.86707E-01  4.61872E-01  2.04396E-02  4.39492E-03
   486.00000  4.84239E-01  4.59533E-01  2.03407E-02  4.36495E-03
   487.00000  4.81783E-01  4.57205E-01  2.02424E-02  4.33525E-03
   488.00000  4.79340E-01  4.54889E-01  2.01448E-02  4.30580E-03
   489.00000  4.76909E-01  4.52585E-01  2.00478E-02  4.27660E-03
   490.00000  4.74493E-01  4.50294E-01  1.99514E-02  4.24765E-03
   491.00000  4.72090E-01  4.48015E-01  1.98556E-02  4.21894E-03
   492.00000  4.69701E-01  4.45750E-01  1.97604E-02  4.19048E-03
   493.00000  4.67327E-01  4.43499E-01  1.96659E-02  4.16227E-03
   494.00000  4.64967E-01  4.41261E-01  1.95719E-02  4.13429E-03
   495.00000  4.62623E-01  4.39038E-01  1.94786E-02  4.10655E-03
   496.00000  4.60294E-01  4.36829E-01  1.93858E-02  4.07904E-03
   497.00000  4.57980E-01  4.34634E-01  1.92936E-02  4.05176E-03
   498.00000  4.55682E-01  4.32455E-01  1.92020E-02  4.02472E-03
   499.00000  4.53399E-01  4.30291E-01  1.91110E-02  3.99790E-03
