# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 15-Sep-2026 10:51:07
# ---------------------------------------------------------------------
# ==============================================================================
# DUMP command line: -s N -pcs -PE 0-3000 -dE 1 -v 
# ==============================================================================
#
# Atom: N
#   nuclear charge:    7
#   total electrons:   7
#   total charge:     +0
#   configuration: 1s2_2s2_2p3
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# SCF procedure:
#   max iteration =  100
#   convergence for energy  =  1.0E-07
#   convergence for density =  1.0E-06
#   mixing ratio =  0.60 of new potentials
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# iter    E(orb)   E(exch)   E(Coul)     E(J)*      E(total)     diff.
#    1  -79.6250  -11.7899  -23.7423   39.4621  -115.1571638  1.15E+02
#    2  -24.8472   -6.4488   -6.8917   15.4902   -38.1877761 -7.70E+01
#    3  -36.3516   -9.1201  -16.1759   28.3360   -61.6475587  2.35E+01
#    4  -33.2957   -8.7663  -15.0059   26.6943   -57.0679407 -4.58E+00
#    5  -32.9655   -8.7824  -15.0395   26.7495   -56.7874470 -2.80E-01
#    6  -32.8031   -8.7814  -15.0294   26.7380   -56.6138816 -1.74E-01
#    7  -32.7440   -8.7829  -15.0322   26.7427   -56.5590304 -5.49E-02
#    8  -32.7177   -8.7830  -15.0318   26.7424   -56.5324430 -2.66E-02
#    9  -32.7072   -8.7831  -15.0321   26.7429   -56.5223339 -1.01E-02
#   10  -32.7027   -8.7831  -15.0321   26.7429   -56.5178915 -4.44E-03
#   11  -32.7009   -8.7831  -15.0321   26.7429   -56.5161311 -1.76E-03
#   12  -32.7002   -8.7831  -15.0321   26.7429   -56.5153939 -7.37E-04
#   13  -32.6999   -8.7831  -15.0321   26.7429   -56.5150990 -2.95E-04
#   14  -32.6998   -8.7831  -15.0321   26.7429   -56.5149784 -1.21E-04
#   15  -32.6997   -8.7831  -15.0321   26.7429   -56.5149301 -4.83E-05
#   16  -32.6997   -8.7831  -15.0321   26.7429   -56.5149107 -1.95E-05
#   17  -32.6997   -8.7831  -15.0321   26.7429   -56.5149029 -7.79E-06
#   18  -32.6997   -8.7831  -15.0321   26.7429   -56.5148997 -3.12E-06
#   19  -32.6997   -8.7831  -15.0321   26.7429   -56.5148985 -1.24E-06
#   20  -32.6997   -8.7831  -15.0321   26.7429   -56.5148980 -4.97E-07
#   21  -32.6997   -8.7831  -15.0321   26.7429   -56.5148978 -1.98E-07
#   22  -32.6997   -8.7831  -15.0321   26.7429   -56.5148977 -7.87E-08
# --------------------------------------------------------------------
#       -32.6997   -8.7831  -15.0321   26.7429   -56.5148977 converged
#
# SCF converged after   22 iterations
#   energy convergence  = -7.872E-08
#   density convergence =  8.117E-09
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =     -32.69969525  [      -889.80 eV ]
#   (SUM of E_kin) =      56.22710588
#   (Effec. pot E) =     -88.92680113
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =      56.22710588
#   E Latter corr  =      -0.06340575
#   Nuc-Elec pot E =    -130.63838522    One-Elec E =     -74.47468510
#
#   Hartree E      =      26.74291002
#   Exchange E     =      -8.78312265
#   Correlation E  =       0.00000000    Two-Elec E =      17.95978737
#   ---------------------------------
#   Total Energy   =     -56.51489772  [     -1537.85 eV ]
#
#                E(0)        E(1)
# |E_TOT|     -889.80    -1537.85
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -14.86854593    -404.593704     613.355830
#   2s       2    -0.84794340     -23.073713      69.070615
#   2p       3    -0.42223887     -11.489704      55.054816
#
#              1s        2s        2p
# |SCF|   -404.59    -23.07    -11.49
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.227       0.069       3.900     4.4E-08
#   2s       1.283       2.005      16.795    -4.3E-08
#   2p       1.413       2.662      23.705    -1.5E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    4887
#   continuum_rmax(a.u.)  =      24.437 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s           2s           2p 
#
#                       P.E. =     0.00     n,l -        E,l             R_int
#
     0.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     1.00     n,l -        E,l             R_int
#
     1.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     2.00     n,l -        E,l             R_int
#
     2.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     3.00     n,l -        E,l             R_int
#
     3.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     4.00     n,l -        E,l             R_int
#
     4.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     5.00     n,l -        E,l             R_int
#
     5.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     6.00     n,l -        E,l             R_int
#
     6.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     7.00     n,l -        E,l             R_int
#
     7.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     8.00     n,l -        E,l             R_int
#
     8.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     9.00     n,l -        E,l             R_int
#
     9.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    10.00     n,l -        E,l             R_int
#
    10.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    11.00     n,l -        E,l             R_int
#
    11.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    12.00     n,l -        E,l             R_int
#                                           2 1 -     0.51 0      -1.01656E+00
#                                           2 1 -     0.51 2      -2.08661E+00
#
    12.00000  1.15519E+01  0.00000E+00  0.00000E+00  1.15519E+01
#
#                       P.E. =    13.00     n,l -        E,l             R_int
#                                           2 1 -     1.51 0      -9.08960E-01
#                                           2 1 -     1.51 2      -2.04678E+00
#
    13.00000  1.18254E+01  0.00000E+00  0.00000E+00  1.18254E+01
#
#                       P.E. =    14.00     n,l -        E,l             R_int
#                                           2 1 -     2.51 0      -8.20210E-01
#                                           2 1 -     2.51 2      -1.98555E+00
#
    14.00000  1.18395E+01  0.00000E+00  0.00000E+00  1.18395E+01
#
#                       P.E. =    15.00     n,l -        E,l             R_int
#                                           2 1 -     3.51 0      -7.45862E-01
#                                           2 1 -     3.51 2      -1.91477E+00
#
    15.00000  1.16941E+01  0.00000E+00  0.00000E+00  1.16941E+01
#
#                       P.E. =    16.00     n,l -        E,l             R_int
#                                           2 1 -     4.51 0      -6.82764E-01
#                                           2 1 -     4.51 2      -1.84063E+00
#
    16.00000  1.14507E+01  0.00000E+00  0.00000E+00  1.14507E+01
#
#                       P.E. =    17.00     n,l -        E,l             R_int
#                                           2 1 -     5.51 0      -6.28599E-01
#                                           2 1 -     5.51 2      -1.76645E+00
#
    17.00000  1.11481E+01  0.00000E+00  0.00000E+00  1.11481E+01
#
#                       P.E. =    18.00     n,l -        E,l             R_int
#                                           2 1 -     6.51 0      -5.81643E-01
#                                           2 1 -     6.51 2      -1.69402E+00
#
    18.00000  1.08111E+01  0.00000E+00  0.00000E+00  1.08111E+01
#
#                       P.E. =    19.00     n,l -        E,l             R_int
#                                           2 1 -     7.51 0      -5.40582E-01
#                                           2 1 -     7.51 2      -1.62426E+00
#
    19.00000  1.04559E+01  0.00000E+00  0.00000E+00  1.04559E+01
#
#                       P.E. =    20.00     n,l -        E,l             R_int
#                                           2 1 -     8.51 0      -5.04398E-01
#                                           2 1 -     8.51 2      -1.55758E+00
#
    20.00000  1.00928E+01  0.00000E+00  0.00000E+00  1.00928E+01
#
#                       P.E. =    21.00     n,l -        E,l             R_int
#                                           2 1 -     9.51 0      -4.72292E-01
#                                           2 1 -     9.51 2      -1.49415E+00
#
    21.00000  9.72887E+00  0.00000E+00  0.00000E+00  9.72887E+00
#
#                       P.E. =    22.00     n,l -        E,l             R_int
#                                           2 1 -    10.51 0      -4.43630E-01
#                                           2 1 -    10.51 2      -1.43393E+00
#
    22.00000  9.36842E+00  0.00000E+00  0.00000E+00  9.36842E+00
#
#                       P.E. =    23.00     n,l -        E,l             R_int
#                                           2 1 -    11.51 0      -4.17898E-01
#                                           2 1 -    11.51 2      -1.37683E+00
#
