# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 15-Sep-2026 10:22:15
# ---------------------------------------------------------------------
# Atom: S
#   nuclear charge:   16
#   total electrons:  16
#   total charge:     +0
#   configuration: 1s2_2s2_2p6_3s2_3p4
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# SCF converged after   23 iterations
#   energy convergence  = -8.258E-08
#   density convergence =  2.183E-08
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =    -237.32272338  [     -6457.88 eV ]
#   (SUM of E_kin) =     406.84749274
#   (Effec. pot E) =    -644.17021613
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =     406.84749274
#   E Latter corr  =      -0.04201322
#   Nuc-Elec pot E =    -960.25587746    One-Elec E =    -553.45039794
#
#   Hartree E      =     181.45816030
#   Exchange E     =     -35.09148454
#   Correlation E  =       0.00000000    Two-Elec E =     146.36667576
#   ---------------------------------
#   Total Energy   =    -407.08372217  [    -11077.31 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -6457.88   -11077.31
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -89.94266023   -2447.464211    3321.890002
#   2s       2    -8.25508772    -224.632357     517.609320
#   2p       6    -6.31404900    -171.814008     499.834100
#   3s       2    -0.76511365     -20.819801      80.337818
#   3p       4    -0.37817655     -10.290707      58.051057
#
#              1s        2s        2p        3s        3p
# |SCF|  -2447.46   -224.63   -171.81    -20.82    -10.29
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.097       0.013       1.635     2.4E-06
#   2s       0.473       0.266       5.425     1.3E-07
#   2p       0.432       0.233       6.025    -3.1E-08
#   3s       1.642       3.140      17.990    -7.2E-08
#   3p       1.981       4.759      25.540    -6.4E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    5172
#   continuum_rmax(a.u.)  =      25.864 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s           2s           2p           3s           3p 
     0.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     1.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     2.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     4.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     5.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     6.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     7.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     8.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     9.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    10.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    11.00000  5.87693E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.87693E+01
    12.00000  5.55672E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.55672E+01
    13.00000  4.84046E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.84046E+01
    14.00000  3.93513E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.93513E+01
    15.00000  3.03750E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.03750E+01
    16.00000  2.26610E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.26610E+01
    17.00000  1.65842E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.65842E+01
    18.00000  1.20342E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20342E+01
    19.00000  8.72046E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  8.72046E+00
    20.00000  6.33949E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.33949E+00
    21.00000  4.69091E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.30560E-02  4.63785E+00
    22.00000  3.51012E+00  0.00000E+00  0.00000E+00  0.00000E+00  8.71053E-02  3.42301E+00
    23.00000  2.67798E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.22911E-01  2.55506E+00
    24.00000  2.09292E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.58518E-01  1.93441E+00
    25.00000  1.68339E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.92742E-01  1.49065E+00
    26.00000  1.39899E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.24904E-01  1.17409E+00
    27.00000  1.20412E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.54653E-01  9.49466E-01
    28.00000  1.07351E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.81849E-01  7.91657E-01
    29.00000  9.89097E-01  0.00000E+00  0.00000E+00  0.00000E+00  3.06481E-01  6.82616E-01
    30.00000  9.37911E-01  0.00000E+00  0.00000E+00  0.00000E+00  3.28619E-01  6.09293E-01
    31.00000  9.10557E-01  0.00000E+00  0.00000E+00  0.00000E+00  3.48378E-01  5.62179E-01
    32.00000  9.00196E-01  0.00000E+00  0.00000E+00  0.00000E+00  3.65898E-01  5.34298E-01
    33.00000  9.01826E-01  0.00000E+00  0.00000E+00  0.00000E+00  3.81332E-01  5.20495E-01
    34.00000  9.11770E-01  0.00000E+00  0.00000E+00  0.00000E+00  3.94832E-01  5.16939E-01
    35.00000  9.27316E-01  0.00000E+00  0.00000E+00  0.00000E+00  4.06549E-01  5.20767E-01
    36.00000  9.46456E-01  0.00000E+00  0.00000E+00  0.00000E+00  4.16628E-01  5.29828E-01
    37.00000  9.67707E-01  0.00000E+00  0.00000E+00  0.00000E+00  4.25204E-01  5.42503E-01
    38.00000  9.89969E-01  0.00000E+00  0.00000E+00  0.00000E+00  4.32405E-01  5.57564E-01
    39.00000  1.01243E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.38350E-01  5.74082E-01
    40.00000  1.03450E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.43148E-01  5.91354E-01
    41.00000  1.05575E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.46900E-01  6.08847E-01
    42.00000  1.07586E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.49700E-01  6.26158E-01
    43.00000  1.09462E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.51634E-01  6.42987E-01
    44.00000  1.11189E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.52781E-01  6.59112E-01
    45.00000  1.12758E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.53214E-01  6.74369E-01
    46.00000  1.14164E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.52999E-01  6.88643E-01
    47.00000  1.15406E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.52199E-01  7.01857E-01
    48.00000  1.16483E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.50870E-01  7.13963E-01
    49.00000  1.17400E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.49065E-01  7.24934E-01
    50.00000  1.18159E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.46831E-01  7.34763E-01
    51.00000  1.18767E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.44215E-01  7.43458E-01
    52.00000  1.19229E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.41255E-01  7.51037E-01
    53.00000  1.19552E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.37991E-01  7.57526E-01
    54.00000  1.19742E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.34457E-01  7.62959E-01
    55.00000  1.19806E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.30685E-01  7.67376E-01
    56.00000  1.19753E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.26705E-01  7.70820E-01
    57.00000  1.19588E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.22543E-01  7.73336E-01
    58.00000  1.19320E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.18225E-01  7.74971E-01
    59.00000  1.18955E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.13774E-01  7.75775E-01
    60.00000  1.18501E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.09210E-01  7.75795E-01
    61.00000  1.17964E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.04553E-01  7.75082E-01
    62.00000  1.17350E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.99820E-01  7.73684E-01
    63.00000  1.16668E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.95027E-01  7.71648E-01
    64.00000  1.15921E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.90190E-01  7.69022E-01
    65.00000  1.15117E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.85321E-01  7.65851E-01
    66.00000  1.14261E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.80432E-01  7.62177E-01
    67.00000  1.13358E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.75534E-01  7.58045E-01
    68.00000  1.12413E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.70638E-01  7.53494E-01
    69.00000  1.11431E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.65752E-01  7.48562E-01
    70.00000  1.10417E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.60884E-01  7.43286E-01
    71.00000  1.09374E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.56042E-01  7.37700E-01
    72.00000  1.08307E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.51231E-01  7.31838E-01
    73.00000  1.07219E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.46457E-01  7.25729E-01
    74.00000  1.06113E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.41726E-01  7.19403E-01
    75.00000  1.04993E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.37041E-01  7.12886E-01
    76.00000  1.03861E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.32407E-01  7.06204E-01
    77.00000  1.02721E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.27827E-01  6.99380E-01
    78.00000  1.01574E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.23304E-01  6.92435E-01
    79.00000  1.00423E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.18839E-01  6.85391E-01
    80.00000  9.92700E-01  0.00000E+00  0.00000E+00  0.00000E+00  3.14436E-01  6.78264E-01
    81.00000  9.81169E-01  0.00000E+00  0.00000E+00  0.00000E+00  3.10096E-01  6.71073E-01
    82.00000  9.69652E-01  0.00000E+00  0.00000E+00  0.00000E+00  3.05820E-01  6.63832E-01
    83.00000  9.58166E-01  0.00000E+00  0.00000E+00  0.00000E+00  3.01609E-01  6.56557E-01
    84.00000  9.46724E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.97465E-01  6.49260E-01
    85.00000  9.35339E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.93387E-01  6.41953E-01
    86.00000  9.24022E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.89375E-01  6.34647E-01
    87.00000  9.12782E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.85431E-01  6.27351E-01
    88.00000  9.01629E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.81554E-01  6.20075E-01
    89.00000  8.90569E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.77743E-01  6.12826E-01
    90.00000  8.79610E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.73999E-01  6.05611E-01
    91.00000  8.68757E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.70321E-01  5.98437E-01
    92.00000  8.58016E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.66708E-01  5.91308E-01
    93.00000  8.47391E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.63160E-01  5.84231E-01
    94.00000  8.36885E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.59676E-01  5.77209E-01
    95.00000  8.26502E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.56255E-01  5.70247E-01
    96.00000  8.16243E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.52896E-01  5.63347E-01
    97.00000  8.06110E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.49598E-01  5.56512E-01
    98.00000  7.96106E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.46361E-01  5.49745E-01
    99.00000  7.86231E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.43183E-01  5.43048E-01
   100.00000  7.76486E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.40063E-01  5.36423E-01
   101.00000  7.66871E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.37000E-01  5.29871E-01
   102.00000  7.57386E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.33994E-01  5.23392E-01
   103.00000  7.48031E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.31042E-01  5.16989E-01
   104.00000  7.38805E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.28144E-01  5.10661E-01
   105.00000  7.29708E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.25299E-01  5.04409E-01
   106.00000  7.20738E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.22505E-01  4.98233E-01
   107.00000  7.11895E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.19762E-01  4.92134E-01
   108.00000  7.03178E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.17068E-01  4.86110E-01
   109.00000  6.94584E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.14422E-01  4.80163E-01
   110.00000  6.86114E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.11823E-01  4.74291E-01
   111.00000  6.77765E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.09271E-01  4.68494E-01
   112.00000  6.69536E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.06763E-01  4.62772E-01
   113.00000  6.61425E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.04300E-01  4.57125E-01
