# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 15-Sep-2026 13:11:29
# ---------------------------------------------------------------------
# ==============================================================================
# DUMP command line: -s S -pcs -PE 0-3000 -dE 1 -v 
# ==============================================================================
#
# Atom: S
#   nuclear charge:   16
#   total electrons:  16
#   total charge:     +0
#   configuration: 1s2_2s2_2p6_3s2_3p4
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# SCF procedure:
#   max iteration =  100
#   convergence for energy  =  1.0E-07
#   convergence for density =  1.0E-06
#   mixing ratio =  0.60 of new potentials
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# iter    E(orb)   E(exch)   E(Coul)     E(J)*      E(total)     diff.
#    1 -597.3333  -48.5691 -213.6230  278.3819  -859.5254874  8.60E+02
#    2 -167.2163  -25.7187  -78.3280  112.6195  -271.2629038 -5.88E+02
#    3 -250.6101  -35.8266 -140.3288  188.0976  -426.7655310  1.56E+02
#    4 -238.8196  -35.0807 -134.7883  181.5626  -408.6885717 -1.81E+01
#    5 -237.8598  -35.0806 -134.6267  181.4008  -407.5670732 -1.12E+00
#    6 -237.5705  -35.0898 -134.6623  181.4487  -407.3225974 -2.44E-01
#    7 -237.4274  -35.0911 -134.6667  181.4548  -407.1851544 -1.37E-01
#    8 -237.3666  -35.0914 -134.6688  181.4574  -407.1268619 -5.83E-02
#    9 -237.3408  -35.0915 -134.6693  181.4579  -407.1015308 -2.53E-02
#   10 -237.3301  -35.0915 -134.6694  181.4581  -407.0910308 -1.05E-02
#   11 -237.3257  -35.0915 -134.6695  181.4581  -407.0866992 -4.33E-03
#   12 -237.3239  -35.0915 -134.6695  181.4582  -407.0849313 -1.77E-03
#   13 -237.3232  -35.0915 -134.6695  181.4582  -407.0842121 -7.19E-04
#   14 -237.3229  -35.0915 -134.6695  181.4582  -407.0839203 -2.92E-04
#   15 -237.3228  -35.0915 -134.6695  181.4582  -407.0838022 -1.18E-04
#   16 -237.3228  -35.0915 -134.6695  181.4582  -407.0837545 -4.78E-05
#   17 -237.3227  -35.0915 -134.6695  181.4582  -407.0837352 -1.93E-05
#   18 -237.3227  -35.0915 -134.6695  181.4582  -407.0837274 -7.79E-06
#   19 -237.3227  -35.0915 -134.6695  181.4582  -407.0837242 -3.14E-06
#   20 -237.3227  -35.0915 -134.6695  181.4582  -407.0837230 -1.27E-06
#   21 -237.3227  -35.0915 -134.6695  181.4582  -407.0837225 -5.10E-07
#   22 -237.3227  -35.0915 -134.6695  181.4582  -407.0837223 -2.05E-07
#   23 -237.3227  -35.0915 -134.6695  181.4582  -407.0837222 -8.26E-08
# --------------------------------------------------------------------
#      -237.3227  -35.0915 -134.6695  181.4582  -407.0837222 converged
#
# SCF converged after   23 iterations
#   energy convergence  = -8.258E-08
#   density convergence =  2.183E-08
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =    -237.32272338  [     -6457.88 eV ]
#   (SUM of E_kin) =     406.84749274
#   (Effec. pot E) =    -644.17021613
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =     406.84749274
#   E Latter corr  =      -0.04201322
#   Nuc-Elec pot E =    -960.25587746    One-Elec E =    -553.45039794
#
#   Hartree E      =     181.45816030
#   Exchange E     =     -35.09148454
#   Correlation E  =       0.00000000    Two-Elec E =     146.36667576
#   ---------------------------------
#   Total Energy   =    -407.08372217  [    -11077.31 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -6457.88   -11077.31
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -89.94266023   -2447.464211    3321.890002
#   2s       2    -8.25508772    -224.632357     517.609320
#   2p       6    -6.31404900    -171.814008     499.834100
#   3s       2    -0.76511365     -20.819801      80.337818
#   3p       4    -0.37817655     -10.290707      58.051057
#
#              1s        2s        2p        3s        3p
# |SCF|  -2447.46   -224.63   -171.81    -20.82    -10.29
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.097       0.013       1.635     2.4E-06
#   2s       0.473       0.266       5.425     1.3E-07
#   2p       0.432       0.233       6.025    -3.1E-08
#   3s       1.642       3.140      17.990    -7.2E-08
#   3p       1.981       4.759      25.540    -6.4E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    5172
#   continuum_rmax(a.u.)  =      25.864 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s           2s           2p           3s           3p 
#
#                       P.E. =     0.00     n,l -        E,l             R_int
#
     0.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     1.00     n,l -        E,l             R_int
#
     1.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     2.00     n,l -        E,l             R_int
#
     2.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     3.00     n,l -        E,l             R_int
#
     3.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     4.00     n,l -        E,l             R_int
#
     4.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     5.00     n,l -        E,l             R_int
#
     5.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     6.00     n,l -        E,l             R_int
#
     6.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     7.00     n,l -        E,l             R_int
#
     7.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     8.00     n,l -        E,l             R_int
#
     8.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     9.00     n,l -        E,l             R_int
#
     9.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    10.00     n,l -        E,l             R_int
#
    10.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    11.00     n,l -        E,l             R_int
#                                           3 1 -     0.71 0       1.45156E+00
#                                           3 1 -     0.71 2      -4.38409E+00
#
    11.00000  5.87693E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.87693E+01
#
#                       P.E. =    12.00     n,l -        E,l             R_int
#                                           3 1 -     1.71 0       1.29309E+00
#                                           3 1 -     1.71 2      -4.09092E+00
#
    12.00000  5.55672E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.55672E+01
#
#                       P.E. =    13.00     n,l -        E,l             R_int
#                                           3 1 -     2.71 0       1.16352E+00
#                                           3 1 -     2.71 2      -3.66775E+00
#
    13.00000  4.84046E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.84046E+01
#
#                       P.E. =    14.00     n,l -        E,l             R_int
#                                           3 1 -     3.71 0       1.05571E+00
#                                           3 1 -     3.71 2      -3.17944E+00
#
    14.00000  3.93513E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.93513E+01
#
#                       P.E. =    15.00     n,l -        E,l             R_int
#                                           3 1 -     4.71 0       9.64657E-01
#                                           3 1 -     4.71 2      -2.68681E+00
#
    15.00000  3.03750E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.03750E+01
#
#                       P.E. =    16.00     n,l -        E,l             R_int
#                                           3 1 -     5.71 0       8.86780E-01
#                                           3 1 -     5.71 2      -2.23188E+00
#
    16.00000  2.26610E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.26610E+01
#
#                       P.E. =    17.00     n,l -        E,l             R_int
#                                           3 1 -     6.71 0       8.19444E-01
#                                           3 1 -     6.71 2      -1.83470E+00
#
    17.00000  1.65842E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.65842E+01
#
#                       P.E. =    18.00     n,l -        E,l             R_int
#                                           3 1 -     7.71 0       7.60666E-01
#                                           3 1 -     7.71 2      -1.49923E+00
#
    18.00000  1.20342E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20342E+01
#
#                       P.E. =    19.00     n,l -        E,l             R_int
#                                           3 1 -     8.71 0       7.08927E-01
#                                           3 1 -     8.71 2      -1.22080E+00
#
    19.00000  8.72046E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  8.72046E+00
#
#                       P.E. =    20.00     n,l -        E,l             R_int
#                                           3 1 -     9.71 0       6.63047E-01
#                                           3 1 -     9.71 2      -9.91465E-01
#
    20.00000  6.33949E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  6.33949E+00
#
#                       P.E. =    21.00     n,l -        E,l             R_int
#                                           3 0 -     0.18 1       1.13062E-01
#                                           3 1 -    10.71 0       6.22094E-01
#                                           3 1 -    10.71 2      -8.02842E-01
#
